# ПОРЦИЯ ru-122 — 122 из 178. Слова 24201–24400 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	мучительных	122	S	
.	носильщика	122	TS	
.	парикмахеры	122	TS	
.	полая	122	TS	
.	пошустрее	122	TS	
.	прачка	122	S	
.	присниться	122	TS	
.	разожгла	122	TS	
.	рьуп	122	S	
.	сердечник	122	S	
.	транквилизаторов	122	S	
.	аннулирование	121	TS	
.	еее	121	S	рядом: маи 6, ти 3, ха 3
.	жаренные	121	S	
.	масала	121	S	
.	милота	121	TS	
.	молекулярном	121	S	
.	мочь	121	TS	
.	побледнела	121	TS	
.	пшёл	121	TS	
.	пятничный	121	TS	
.	радиста	121	TS	
.	твид	121	S	с заглавной 46% · рядом: мистер 17, шеннон 11, этот 7
.	укажешь	121	S	
.	хромого	121	TS	
.	алмазах	120	S	
.	бередить	120	TS	
.	гремлины	120	S	
.	моги	120	S	с заглавной 44% · рядом: мистер 18, бы 14, леонид 5
.	некурящих	120	TS	
.	партком	120	S	
.	патологически	120	TS	
.	поцелуйчики	120	S	
.	рисовая	120	TS	
.	сырной	120	TS	
.	токсикологию	120	S	
.	блюдца	119	TS	
.	всходит	119	TS	
.	деликатного	119	TS	
.	дёсны	119	TS	
.	изливать	119	TS	
.	имитатор	119	TS	
.	объеденье	119	TS	
.	отталкивай	119	S	
.	подвину	119	S	
.	разносил	119	TS	
.	скотины	119	S	
.	стах	119	S	с заглавной 78% · рядом: король 17, стах 4, ты 4
.	упомяни	119	S	
.	ампула	118	S	
.	взломщиков	118	TS	
.	выкрутимся	118	TS	
.	каления	118	TS	
.	копченой	118	S	
.	листовка	118	TS	
.	наглую	118	TS	
.	наложниц	118	S	
.	оповещу	118	TS	
.	подметила	118	S	
.	прилетаю	118	S	
.	притронется	118	TS	
.	скукой	118	TS	
.	стафилококк	118	S	
.	стражника	118	TS	
.	цирковая	118	TS	
.	бандитка	117	S	
.	впаривать	117	S	
.	выдумывал	117	S	
.	драконье	117	S	с заглавной 39% · рядом: стекло 72, яйцо 32, логово 29
.	жрачка	117	S	
.	кухарки	117	TS	
.	мямля	117	S	
.	нажрались	117	S	
.	оружейном	117	S	
.	попробывать	117	S	
.	пятиминутный	117	TS	
.	рутинная	117	TS	
.	строжайшей	117	S	
.	частичкой	117	S	
.	бухает	116	TS	
.	дятла	116	TS	
.	задохнулись	116	S	
.	извлечем	116	S	
.	надулся	116	TS	
.	обезьяньи	116	TS	
.	отвязать	116	S	
.	отложит	116	TS	
.	подтянем	116	S	
.	понюхал	116	TS	
.	просижу	116	TS	
.	простимся	116	TS	
.	соизволит	116	TS	
.	тухлый	116	S	
.	уполномочена	116	TS	
.	шансами	116	S	
.	экстраординарное	116	TS	
.	бартер	115	TS	
.	взаимность	115	TS	
.	воздадим	115	S	
.	всевышним	115	TS	с заглавной 79% · рядом: перед 23, клянусь 12, пред 8
.	доставок	115	S	
.	замешкался	115	TS	
.	затаились	115	TS	
.	изнанку	115	S	
.	молотый	115	S	
.	намереваешься	115	TS	
.	нечиста	115	TS	
.	подкидывать	115	S	
.	саундчек	115	S	
.	тонущий	115	TS	
.	утри	115	S	
.	вышибать	114	TS	
.	довези	114	TS	
.	наберёшь	114	S	
.	паршивка	114	S	
.	покидало	114	TS	
.	помолчишь	114	TS	
.	попросилась	114	TS	
.	заверши	113	TS	
.	материнстве	113	S	
.	незаменима	113	TS	
.	неуравновешенная	113	S	
.	ничтожна	113	TS	
.	односторонняя	113	TS	
.	падок	113	TS	
.	пикников	113	TS	
.	посмеется	113	S	
.	скинет	113	S	
.	совращение	113	S	
.	сотворим	113	TS	
.	фургонах	113	S	
.	баек	112	TS	
.	винах	112	TS	
.	впопыхах	112	TS	
.	высказываю	112	TS	
.	договариваете	112	TS	
.	закупорка	112	S	
.	объездить	112	TS	
.	пане	112	S	
.	пересидеть	112	TS	
.	приносящий	112	TS	
.	птичьим	112	TS	
.	узкоглазый	112	S	
.	человечестве	112	TS	
.	блёсток	111	S	
.	буп	111	S	с заглавной 41% · рядом: буп 98, бетти 41, бип 7
.	воображаемом	111	TS	
.	запоздал	111	S	
.	зверюшки	111	S	
.	конфеткой	111	S	
.	мормон	111	TS	
.	свалкой	111	TS	
.	срываю	111	TS	
.	угодит	111	TS	
.	уголовником	111	TS	
.	каторжник	110	S	
.	миллениал	110	TS	с заглавной 40% · Том — стареющий миллениал.
.	могуществом	110	S	
.	напоминаний	110	S	
.	обеспечите	110	S	
.	покричи	110	S	
.	стажёры	110	TS	
.	алчный	109	TS	
.	вставляли	109	TS	
.	десницы	109	S	с заглавной 63% · рядом: короля 58, башне 21, должность 18
.	дожидаюсь	109	TS	
.	ежечасно	109	TS	
.	забегали	109	TS	
.	лабиринты	109	S	
.	мушкетёры	109	S	
.	обедами	109	TS	
.	передвину	109	S	
.	подлизываешься	109	TS	
