# ПОРЦИЯ ru-035 — 35 из 178. Слова 6801–7000 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	проткнуть	361	TS	
.	улыбаемся	361	TS	
.	поиграйте	358	TS	
.	невесть	356	TS	
.	крендель	354	S	
.	выносите	350	TS	
.	дешёвое	350	TS	
.	порепетировать	350	S	
.	старомоден	349	TS	
.	сражаетесь	348	TS	
.	уложи	347	TS	
.	помыслы	346	TS	
.	испорчены	345	TS	
.	заценить	343	TS	
.	ранимый	342	TS	
.	кюдмн	339	S	с заглавной 70% · рядом: кюдмн 68, дю 45, мс 31
.	лифту	339	TS	
.	пропускаем	333	TS	
.	сведёт	333	TS	
.	успокойте	333	TS	
.	паучок	331	TS	с заглавной 45% · У тебя в волосах крохотный паучок.
.	застегни	328	TS	
.	срослось	328	TS	
.	заполнит	325	S	
.	разорить	323	TS	
.	чистила	319	TS	
.	вытворять	318	S	
.	гражданочка	312	TS	
.	застрелите	305	TS	
.	грубы	291	TS	
.	почитала	278	TS	
.	надул	607	TS	
.	ведьмами	594	S	
.	подцепила	579	TS	
.	произносишь	578	TS	
.	кусочкам	574	S	
.	представишь	557	TS	
.	кексик	546	S	
.	яичница	544	TS	
.	наблюдаешь	537	TS	
.	дрожишь	536	TS	
.	колдовать	536	TS	
.	ниггеры	536	S	
.	уплыл	527	TS	
.	отдаете	525	TS	
.	покорный	525	TS	
.	уродливые	525	TS	
.	стервятники	520	TS	
.	крошек	515	TS	
.	обнаружим	515	TS	
.	джипе	502	S	
.	попрощаюсь	494	TS	
.	продажный	493	TS	
.	расстроенной	493	TS	
.	разузнал	489	TS	
.	любя	487	TS	
.	догадываетесь	485	TS	
.	запрыгивай	485	TS	
.	помыла	483	TS	
.	педикюр	482	TS	
.	сваливай	482	TS	
.	впутывай	481	TS	
.	попадёте	481	TS	
.	обдурить	480	TS	
.	покидай	480	TS	
.	отрава	479	TS	
.	убирала	479	TS	
.	пырнул	478	TS	
.	позовешь	476	S	
.	поругался	476	TS	
.	обручились	473	TS	
.	отвертеться	473	TS	
.	замочил	472	TS	
.	попади	472	TS	
.	потеплее	471	TS	
.	матушку	469	TS	
.	твердила	468	TS	
.	кончила	467	TS	
.	сопротивляйся	467	TS	
.	отключиться	466	TS	
.	романтику	465	TS	
.	бару	463	TS	
.	говнюки	462	S	
