# ПОРЦИЯ ru-177 — 177 из 178. Слова 35201–35400 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	доведёшь	111	TS	
.	кромсать	111	S	
.	обыденность	111	S	
.	ошалел	111	TS	
.	притронулись	111	TS	
.	скрепим	111	TS	
.	бельишко	110	S	
.	бьл	110	S	рядом: должен 8, близок 6, артистом 6
.	вжух	110	S	
.	гидрокостюм	110	TS	
.	дейт	110	S	
.	недееспособным	110	TS	
.	отчалить	110	TS	
.	переклички	110	S	
.	расслабляющий	110	TS	
.	скрепка	110	TS	
.	ступнях	110	S	
.	трясешь	110	S	
.	телепатов	109	S	
.	упёртая	109	TS	
.	взошли	108	TS	
.	выданье	108	TS	
.	выцарапаю	108	TS	
.	гадюк	108	TS	
.	завязки	108	TS	
.	охх	108	S	с заглавной 38% · рядом: ох 6, ты 3, паразиииит 3
.	порван	108	TS	
.	постыдился	108	TS	
.	приподнятом	108	TS	
.	прогорит	108	S	
.	пропитанный	108	S	
.	пятка	108	TS	
.	раздолье	108	TS	
.	тостами	108	TS	
.	укладываешь	108	TS	
.	чирлидинг	108	S	
.	забываетесь	107	TS	
.	запаникует	107	S	
.	медвежонком	107	TS	
.	неправды	107	TS	
.	отпущено	107	TS	
.	привередливый	107	TS	
.	смельчаки	107	TS	
.	соображала	107	S	
.	шаттлом	107	S	
.	академ	106	TS	
.	восклицательных	106	TS	
.	вывернуло	106	TS	
.	гондолы	106	S	
.	растолстеешь	106	TS	
.	сапогом	106	S	
.	сводя	106	TS	
.	студсовета	106	S	
.	ступает	106	TS	
.	стычку	106	TS	
.	туннелям	106	S	
.	цементе	106	S	
.	беззащитными	105	TS	
.	воодушевлен	105	S	
.	вранью	105	TS	
.	дозволь	105	S	
.	замечателен	105	TS	
.	клингонского	105	S	
.	кошерная	105	S	
.	накладе	105	TS	
.	переключаемся	105	S	
.	пикнешь	105	TS	
.	понесете	105	S	
.	пустынно	105	TS	
.	слёт	105	S	
.	упрашивал	105	TS	
.	гниющий	104	S	
.	губок	104	S	
.	королях	104	S	
.	минному	104	TS	
.	мочите	104	S	
.	нахваливать	104	S	
.	неопровержимых	104	TS	
.	потер	104	TS	
.	пылают	104	S	
.	свистели	104	TS	
.	сёгунат	104	TS	
.	указывающий	104	TS	
.	ходунки	104	S	
.	энсина	104	S	
.	галантность	103	TS	
.	зачастили	103	TS	
.	искрится	103	S	
.	милостивого	103	TS	
.	намылилась	103	S	
.	неуравновешенным	103	S	
.	нудистов	103	S	
.	отвара	103	TS	
.	покамест	103	TS	
.	ментами	163	S	
.	провизия	163	TS	
.	прижечь	149	S	
.	супермодели	143	S	
.	лило	137	TS	с заглавной 60% · Лило как из ведра.
.	новоселья	135	S	
.	базаром	134	TS	
.	здоровенную	133	TS	
.	шпаной	133	TS	
.	приколист	131	S	
.	стопке	130	TS	
.	шелках	127	TS	
.	высадимся	126	S	
.	записочку	126	S	
.	разговорчивая	126	TS	
.	смак	126	S	
.	безвкусная	125	TS	
.	искуплении	124	S	
.	близнецом	123	S	
.	очумел	123	TS	
.	тушёное	123	S	
.	вырвем	122	TS	
.	дорожим	122	S	
.	соверши	121	S	
.	волосатого	120	S	
.	коробит	120	TS	
.	вампирские	119	S	
.	взрывались	119	TS	
.	непригоден	119	TS	
.	седлать	119	S	
.	братки	118	S	
.	переворачиваешь	118	S	
.	покорная	118	S	
.	закатит	117	TS	
.	информирую	117	TS	
.	атомное	116	TS	
.	высовывается	116	S	
.	обеспеченный	116	TS	
.	пойманной	116	TS	
.	уяснила	116	TS	
.	кастингу	115	S	
.	сдохло	115	TS	
.	такою	115	TS	
.	шьешь	115	S	
.	клерки	114	S	
.	неимущих	113	TS	
.	повеселить	113	TS	
.	подведете	113	S	
.	прозрения	113	S	
.	утречком	113	S	
.	нарекли	112	TS	
.	чудаковатый	112	TS	
.	желуди	111	TS	
.	омелой	111	TS	
.	гигиеной	110	TS	
.	неверующие	110	S	
.	невиданный	110	TS	
.	покинутый	110	TS	
.	конфиденциальна	109	TS	
.	повезёшь	109	TS	
.	поворачиваете	109	S	
.	диктовал	108	S	
.	незамужние	108	TS	
.	развернем	108	S	
.	вдумайтесь	107	TS	
.	запястий	107	TS	
.	засовывали	107	S	
.	избалованной	107	TS	
.	упрямых	107	TS	
.	файрвол	107	TS	
.	факультатив	107	S	
.	интимности	106	S	
.	мелочной	106	S	
.	наполняя	106	TS	
.	настраиваешь	106	TS	
.	обувайся	106	TS	
.	транквилизатора	106	S	
.	выделяешься	105	S	
.	ординаторской	105	TS	
.	похождений	105	S	
.	пука	105	S	с заглавной 39% · рядом: мичуна 11, племя 6, мачуна 4
.	родичей	105	S	
.	сияющее	105	TS	
.	вылавливать	104	S	
.	даунтаун	104	S	с заглавной 57% · рядом: аббатство 7, джули 6, заберу 5
.	дитем	104	S	
.	насрала	104	TS	
.	обкуренный	104	S	
.	пословице	104	TS	
.	пронесся	104	S	
.	распух	104	TS	
.	уединенном	104	S	
.	черпаю	104	S	
.	джипы	103	S	
.	паранойе	103	TS	
.	переправляют	103	S	
.	пластическим	103	TS	
.	приучила	103	TS	
.	пробуждением	103	TS	
.	подталкивал	139	S	
.	обходилась	130	TS	
.	подрал	126	S	
.	романтична	126	TS	
.	избавишь	125	S	
.	бальном	123	S	
.	ахают	122	TS	
