# ПОРЦИЯ ru-167 — 167 из 178. Слова 33201–33400 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	слезает	117	TS	
.	суетитесь	117	TS	
.	убогого	117	S	
.	хамит	117	S	
.	шарить	117	S	
.	шоры	117	S	
.	антикварная	116	TS	
.	бездействует	116	S	
.	блестящем	116	S	
.	бригадиру	116	S	
.	бродяжничество	116	S	
.	взламывают	116	S	
.	вредила	116	TS	
.	врежешь	116	S	
.	вытягивай	116	S	
.	горбатый	116	TS	
.	жарила	116	TS	
.	иммиграционные	116	TS	
.	камеди	116	S	с заглавной 61% · рядом: клаб 26, централ 25, стор 21
.	кланяются	116	S	
.	косишь	116	S	
.	лазит	116	TS	
.	мени	116	S	с заглавной 67% · рядом: фармз 23, дороги 11, ты 5
.	обламывать	116	S	
.	опечатали	116	TS	
.	отымели	116	S	
.	печенку	116	S	
.	плюшевым	116	TS	
.	поглядел	116	TS	
.	поправишь	116	TS	
.	почитаете	116	TS	
.	расчитываю	116	S	
.	силикона	116	S	
.	тарабарщина	116	TS	
.	трясину	116	TS	
.	бросилось	115	TS	
.	взяткой	115	TS	
.	ворвется	115	S	
.	глухота	115	TS	
.	громадную	115	S	
.	дубли	115	TS	
.	дюймах	115	TS	
.	звонарь	115	S	
.	кви	115	S	с заглавной 78% · рядом: про 24, менеджер 13, хо 9
.	линчевать	115	TS	
.	макияжу	115	S	
.	мультимиллионер	115	TS	
.	незнакомке	115	TS	
.	неотразимы	115	TS	
.	переставили	115	TS	
.	подмешать	115	S	
.	подставим	115	S	
.	поклоняемся	115	TS	
.	постелью	115	S	
.	разбудят	115	S	
.	ретрит	115	S	
.	суперзлодей	115	S	
.	уладите	115	TS	
.	хороните	115	TS	
.	щепоткой	115	TS	
.	влепить	114	TS	
.	вменяемый	114	TS	
.	втираешь	114	TS	
.	выписывайте	114	TS	
.	дамского	114	TS	
.	жаворонка	114	TS	
.	задумается	114	S	
.	континенту	114	TS	
.	липовую	114	TS	
.	награждаю	114	S	
.	наседает	114	TS	
.	наставляет	114	TS	
.	неее	114	S	
.	обер	114	TS	с заглавной 55% · рядом: лейтенант 19, господин 13, прокурор 7
.	отношу	114	TS	
.	отрубите	114	S	
.	партитуру	114	S	
.	переворачиваем	114	S	
.	пойманными	114	TS	
.	поощряем	114	TS	
.	поплатилась	114	TS	
.	пригрел	114	TS	
.	пушистое	114	TS	
.	ролла	114	S	с заглавной 52% · рядом: н 11, два 7, лобстер 5
.	скрипом	114	TS	
.	сфинктер	114	S	
.	сьесть	114	TS	
.	тазу	114	S	
.	урчание	114	S	
.	уясни	114	TS	
.	эпилог	114	TS	
.	вздохни	113	TS	
.	вогнал	113	TS	
.	головастиков	113	TS	
.	гремлин	113	S	с заглавной 35% · рядом: маленький 9, умный 3, этот 3
.	дверного	113	S	
.	джиннов	113	TS	
.	зажжет	113	S	
.	закидоны	113	TS	
.	закопает	113	S	
.	затягивайте	113	TS	
.	зеркалах	113	S	
.	молоденькую	113	TS	
.	мсфмю	113	S	с заглавной 77% · рядом: ме 27, лме 25, реае 17
.	наволочку	113	TS	
.	наёмником	113	TS	
.	неглубокая	113	TS	
.	останавливаешь	113	S	
.	оттолкнуться	113	TS	
.	паралитик	113	S	
.	песочных	113	S	
.	побрейся	113	TS	
.	подлил	113	TS	
.	разогревается	113	TS	
.	расслабленный	113	TS	
.	рое	113	S	с заглавной 76% · рядом: логане 4, позабочусь 3, парней 3
.	стихло	113	TS	
.	фантики	113	TS	
.	хватаете	113	S	
.	шторму	113	S	
.	эвтаназия	113	TS	
.	взволновала	112	TS	
.	голодовка	112	S	
.	доделай	112	TS	
.	етси	112	S	
.	задраить	112	S	
.	кинозвезд	112	S	
.	коровьи	112	TS	
.	мириады	112	TS	
.	недорогое	112	TS	
.	несметные	112	TS	
.	останавливала	112	TS	
.	пакетике	112	TS	
.	переписывается	112	S	
.	поломала	112	TS	
.	понятней	112	TS	
.	поправочка	112	S	
.	потеплении	112	TS	
.	примените	112	S	
.	пуговицах	112	TS	
.	разъединили	112	TS	
.	репликатор	112	S	
.	свитке	112	S	
.	совпасть	112	S	
.	сраному	112	S	
.	сфабриковали	112	S	
.	тверды	112	TS	
.	аудиенция	111	TS	
.	бьло	111	S	
.	венчик	111	TS	
.	возглавляешь	111	S	
.	воскресила	111	TS	
.	другана	111	S	
.	люкса	111	S	
.	модифицировали	111	S	
.	мычание	111	TS	
.	нарушайте	111	TS	
.	нейронной	111	TS	
.	отвяжешься	111	TS	
.	перепроверю	111	TS	
.	порешать	111	S	
.	прижиматься	111	S	
.	разрядка	111	TS	
.	рейдер	111	S	с заглавной 57% · рядом: корпоративный 10, сэр 8, один 8
.	слетаем	111	S	
.	срывайся	111	TS	
.	уточки	111	TS	
.	фломастер	111	TS	
.	хвастались	111	TS	
.	бруклинского	110	S	с заглавной 80% · рядом: моста 72, колледжа 5, маньяка 3
.	булавок	110	S	
.	глотками	110	TS	
.	завистливый	110	TS	
.	заезжаю	110	TS	
.	записывающее	110	S	
.	защитном	110	S	
.	испытывайте	110	TS	
.	казал	110	S	
.	кассетой	110	S	
.	кастрировали	110	S	
.	невтерпеж	110	S	
.	остывать	110	TS	
.	пакует	110	TS	
.	пируэт	110	S	
.	погаснут	110	S	
.	пугающих	110	S	
.	разумеющееся	110	TS	
.	редиску	110	S	
.	ценою	110	S	
.	безумцами	109	TS	
.	бокалами	109	TS	
.	взору	109	TS	
.	восковой	109	S	
.	вскочить	109	TS	
.	выеду	109	TS	
.	вызволим	109	S	
.	грацией	109	TS	
.	достойному	109	S	
.	завязываем	109	S	
.	задвинуть	109	TS	
