# ПОРЦИЯ ru-062 — 62 из 178. Слова 12201–12400 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	нажраться	293	TS	
.	подстрекательство	293	S	
.	раздам	293	TS	
.	ночевкой	292	S	
.	баловаться	291	TS	
.	намочил	291	TS	
.	оборвать	291	TS	
.	погано	291	TS	
.	вещицу	289	TS	
.	задрал	289	TS	
.	коку	289	S	
.	накаляется	289	TS	
.	трепещет	289	TS	
.	кри	288	S	с заглавной 70% · рядом: миссис 24, джон 18, всех 14
.	мечу	288	TS	
.	биполярное	287	TS	
.	неплоха	287	TS	
.	подлодке	287	S	
.	развесить	287	TS	
.	опълн	286	S	с заглавной 60% · рядом: яеивюя 126, йюй 18, х 18
.	сердечки	286	TS	
.	жулика	285	TS	
.	идеалист	285	TS	
.	одолеет	284	TS	
.	поддерживайте	284	TS	
.	шарфом	284	TS	
.	бьете	283	TS	
.	дешевке	283	TS	
.	смельчак	283	TS	
.	женьшень	282	S	
.	клешни	282	TS	
.	кошмарные	282	TS	
.	побежать	282	TS	
.	прокачусь	282	TS	
.	руководишь	282	S	
.	ужасающе	282	TS	
.	вагиной	281	TS	
.	накопать	281	TS	
.	недостойны	281	S	
.	объясняй	281	TS	
.	попкой	281	S	
.	проявим	281	TS	
.	тестостерон	281	S	
.	вспыхнет	280	TS	
.	провалюсь	280	TS	
.	рискни	279	TS	
.	воспринимаете	278	TS	
.	оденем	278	S	
.	сашими	278	TS	
.	аллё	277	S	
.	занимай	277	TS	
.	изысканное	277	TS	
.	охраняю	277	S	
.	утебя	277	S	
.	бормочешь	276	TS	
.	опечатка	276	TS	
.	оторвут	276	TS	
.	дегустацию	275	TS	
.	легавым	275	S	
.	поприличнее	275	TS	
.	ругательство	275	TS	
.	тетенька	275	S	
.	тревожиться	275	TS	
.	выручишь	274	TS	
.	прадедушка	274	TS	
.	слабоумный	274	TS	
.	сфоткать	274	TS	
.	силком	273	TS	
.	поразительные	272	TS	
.	припеваючи	272	TS	
.	вышибалы	271	S	
.	приглашай	271	TS	
.	репы	271	TS	
.	фярпфб	271	S	
.	затеряться	270	S	
.	нелепую	270	TS	
.	стейком	270	S	
.	напялил	269	TS	
.	наркодилера	269	S	
.	обозвала	269	TS	
.	чудики	269	S	
.	бесчеловечно	268	TS	
.	мегера	268	TS	
.	назвалась	268	S	
.	берегла	267	TS	
.	гниёт	267	TS	
.	запишитесь	267	TS	
.	пристегни	267	TS	
.	вылезу	266	S	
.	красил	266	TS	
.	скучного	266	TS	
.	сломаете	266	TS	
.	эпилепсия	266	TS	
.	адского	265	S	
.	обретёт	265	TS	
.	беспокоясь	264	TS	
.	выставляю	264	TS	
.	детонаторы	264	S	
.	зажигаем	264	TS	
.	кунг	264	S	с заглавной 58% · рядом: фу 215, пао 72, фьюри 18
.	опозорили	264	TS	
.	покере	264	TS	
.	привяжу	264	S	
.	пристегнуться	264	TS	
.	этично	264	TS	
.	гам	263	TS	с заглавной 38% · Ор — галдёж, гам, гвалт, гомон, крик.
.	музон	263	TS	
.	пешку	263	TS	
.	прослушке	263	S	
.	расшевелить	263	TS	
.	быком	262	TS	
.	зачарованные	262	S	с заглавной 77% · рядом: вы 9, дары 6, прежде 4
.	поторопишься	262	TS	
.	потрогал	262	TS	
.	предвкушаю	262	S	
.	уплыли	262	TS	
.	гильза	261	TS	
