# ПОРЦИЯ ru-161 — 161 из 178. Слова 32001–32200 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	взятое	127	S	
.	заготовил	127	TS	
.	недомерок	127	TS	
.	одобрю	127	TS	
.	отравой	127	S	
.	отругала	127	TS	
.	переплыл	127	TS	
.	подвиньте	127	TS	
.	потискать	127	S	
.	празднуйте	127	S	
.	пятнистый	127	S	
.	скотобойни	127	S	
.	скотобойня	127	TS	
.	трейлером	127	TS	
.	утомительный	127	TS	
.	чипотле	127	S	с заглавной 61% · рядом: есть 5, соус 4, люблю 4
.	шумное	127	TS	
.	арестовывайте	126	S	
.	величественно	126	TS	
.	грохнула	126	S	
.	гуманный	126	TS	
.	заполняешь	126	S	
.	затолкал	126	TS	
.	затолкаю	126	S	
.	мобильником	126	TS	
.	облажаетесь	126	S	
.	обрезала	126	TS	
.	огнетушители	126	S	
.	передаете	126	S	
.	подпускала	126	S	
.	покорным	126	TS	
.	поохотимся	126	S	
.	поработаете	126	S	
.	прикреплю	126	S	
.	размозжу	126	S	
.	рестлинга	126	S	
.	шестидесятые	126	TS	
.	волосатым	125	TS	
.	доил	125	TS	
.	заклинанию	125	S	
.	капитанский	125	S	
.	конфиденциальным	125	TS	
.	копченая	125	S	
.	неизбежная	125	TS	
.	ненавидя	125	S	
.	отдохнёте	125	TS	
.	отмечаешь	125	TS	
.	поджарился	125	S	
.	помянет	125	TS	
.	почто	125	TS	
.	разрушителей	125	TS	с заглавной 44% · рядом: легенд 23, мифов 13, звездных 12
.	рассыпаться	125	TS	
.	слоник	125	S	
.	трезвыми	125	TS	
.	хамишь	125	S	
.	байками	124	TS	
.	братишке	124	TS	
.	впишу	124	S	
.	гидравлика	124	S	
.	зажигайте	124	TS	
.	интроверт	124	TS	
.	кайфовать	124	S	
.	колючие	124	TS	
.	мускатный	124	TS	
.	нанялся	124	TS	
.	полнейшей	124	TS	
.	портили	124	S	
.	поспрашивала	124	S	
.	пятизвездочный	124	S	
.	рискнёшь	124	TS	
.	сведем	124	S	
.	сверхсекретный	124	S	
.	систолическое	124	S	
.	слипаются	124	TS	
.	таскаешься	124	S	
.	трусливых	124	S	
.	уберёте	124	S	
.	беззвучный	123	TS	
.	дозвольте	123	TS	
.	игрушечную	123	TS	
.	идиотском	123	S	
.	истолковал	123	TS	
.	кондора	123	S	с заглавной 47% · рядом: дня 18, золотого 14, калифорнийского 4
.	ломо	123	S	
.	мотается	123	S	
.	мучался	123	TS	
.	наступаю	123	TS	
.	неважным	123	TS	
.	нокауте	123	TS	
.	нюхом	123	S	
.	плаксой	123	TS	
.	провалит	123	TS	
.	профессионалка	123	S	
.	симбионта	123	S	
.	стройным	123	TS	
.	углям	123	TS	
.	фуу	123	S	с заглавной 41% · рядом: фуу 6, венди 6, гадость 4
.	якшаться	123	S	
.	аъд	122	S	рядом: ма 19, од 12, зещб 10
.	бабках	122	S	
.	девчёнка	122	S	
.	диадему	122	S	
.	костюмер	122	S	
.	лхмср	122	S	с заглавной 80% · рядом: оърэ 13, дн 10, х 7
.	мочевым	122	S	
.	налаживаются	122	S	
.	неглупый	122	TS	
.	недоговаривает	122	TS	
.	перехвачен	122	S	
.	пиратах	122	TS	
.	плечики	122	TS	
.	познаете	122	TS	
.	преподаешь	122	TS	
.	разрежьте	122	TS	
