# ПОРЦИЯ ru-159 — 159 из 178. Слова 31601–31800 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	вертиго	172	S	с заглавной 75% · рядом: формулу 5, продающих 3, меня 3
.	грозно	171	TS	
.	пробкой	171	TS	
.	серенаду	171	TS	
.	исходило	170	TS	
.	мгновением	170	TS	
.	прощался	170	TS	
.	накрасила	169	TS	
.	окупились	169	TS	
.	прикидывался	169	TS	
.	спариваться	169	S	
.	ухватил	169	TS	
.	бывалый	168	TS	
.	игрушечных	168	S	
.	страшней	168	TS	
.	истощен	167	TS	
.	расстраивался	167	TS	
.	снобом	167	TS	
.	дурачился	166	S	
.	пропадёшь	166	TS	
.	серьёзе	166	TS	
.	средне	166	TS	
.	страшилище	166	S	
.	великолепия	164	S	
.	контейнером	164	TS	
.	нахальная	164	S	
.	обнимаемся	164	S	
.	парусах	164	TS	
.	поджимают	164	TS	
.	поплохело	164	TS	
.	бургерами	163	S	
.	выполнимо	163	TS	
.	жижа	163	TS	
.	поклонитесь	163	S	
.	потонет	163	TS	
.	сосчитаю	163	S	
.	армада	162	S	
.	дохера	162	S	
.	легкомысленной	162	TS	
.	мюдечяэ	162	S	с заглавной 75% · рядом: ъ 54, врн 36, бш 22
.	неописуемо	162	TS	
.	нефрит	162	TS	
.	пропащий	162	TS	
.	змеиное	161	S	
.	облаве	161	S	
.	шмаль	161	S	
.	восстановишь	160	TS	
.	глядели	160	TS	
.	заиграет	160	TS	
.	прикасаются	160	TS	
.	благословенно	159	S	
.	неинтересен	159	TS	
.	осматривала	159	TS	
.	смешаю	158	S	
.	заключенную	157	S	
.	конфиденциальны	157	S	
.	развесили	157	TS	
.	слетаю	157	S	
.	фотик	157	TS	
.	неопровержимое	156	TS	
.	оторва	156	S	
.	песчинки	156	TS	
.	проницательно	156	TS	
.	раздавай	156	TS	
.	ахает	155	S	
.	вяленое	155	S	
.	долбоеб	155	S	
.	оплакиваю	155	TS	
.	кокосовой	154	TS	
.	манекенов	154	TS	
.	притащишь	154	TS	
.	соседками	154	TS	
.	влиятелен	153	TS	
.	закрутила	153	S	
.	клею	153	S	
.	клинков	153	TS	
.	оттащил	153	S	
.	партнершей	153	S	
.	произведем	153	S	
.	разорвем	153	S	
.	скомпрометированы	153	S	
.	уродства	153	TS	
.	уфйт	153	S	
.	обновим	152	S	
.	оседлай	152	TS	
.	первоклассной	152	S	
.	взвинчен	151	TS	
.	восхитительных	151	S	
.	милосердного	151	TS	
.	огляделся	151	TS	
.	акушерки	150	S	
.	глотком	150	TS	
.	забрёл	150	TS	
.	заглушите	150	TS	
.	инопланетным	150	S	
.	кажемся	150	TS	
.	обелить	150	S	
.	оторвусь	150	S	
.	охуел	150	TS	
.	превосходительству	150	S	с заглавной 47% · рядом: вашему 53, джону 5, генералу 3
.	угонял	150	S	
.	упускайте	150	TS	
.	уродливы	150	TS	
.	ухватилась	150	TS	
.	зебру	149	TS	
.	пометку	149	TS	
.	сигналят	149	S	
.	ткни	149	TS	
.	жестяной	148	TS	
.	забьешь	148	S	
.	закачаешься	148	TS	
.	пузико	148	S	
.	ужасающим	148	S	
.	юнцов	148	TS	
.	ягодицами	148	S	
.	воцарился	147	TS	
.	интеллигентная	147	TS	
.	ласк	147	TS	
.	галлюцинациями	146	S	
.	каки	146	S	
.	карибский	146	TS	с заглавной 41% · Аруба — это карибский остров.
.	коронное	146	TS	
.	недобрый	146	TS	
.	организуете	146	S	
.	переписывает	146	TS	
.	подгоните	146	S	
.	прождать	146	TS	
.	радужно	146	TS	
.	травяного	146	TS	
.	голодухи	145	TS	
.	йес	145	TS	Йес, я сдал!
.	напряга	145	S	
.	наёмника	145	TS	
.	пошлая	145	TS	
.	пришила	145	TS	
.	прорва	145	TS	
.	сигнатура	145	S	
.	тещей	145	S	
.	уважить	145	S	
.	ходуном	145	TS	
.	гулянку	144	S	
.	настройте	144	S	
.	оргий	144	S	
.	ответам	144	TS	
.	плачущим	144	TS	
.	пожалуется	144	TS	
.	пустышкой	144	S	
.	разориться	144	S	
.	сфабриковал	144	TS	
.	втяни	143	S	
.	гордых	143	TS	
.	загадочном	143	TS	
.	закрываешься	143	S	
.	каналья	143	TS	
.	клякса	143	S	с заглавной 51% · рядом: пан 41, эта 5, почему 4
.	копишь	143	TS	
.	мошки	143	TS	
.	онялнрпхре	143	S	с заглавной 51% · рядом: мю 91, йюй 10, врн 9
.	отправная	143	TS	
.	позавидовал	143	TS	
.	помолчу	143	TS	
.	порадую	143	S	
.	унесут	143	S	
