# ПОРЦИЯ ru-001 — 1 из 178. Слова 1–200 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	послушай	62429	TS	
.	собираешься	29028	TS	
.	детка	27869	TS	
.	позволь	20470	TS	
.	позвоню	20286	TS	
.	волнуйся	19865	TS	
.	перестань	18969	TS	
.	ме	19092	TS	с заглавной 77% · Ме, гадость какая!
.	мэм	18616	TS	Мэм, я не знаю слова «мем».
.	прекрати	17434	TS	
.	минутку	18307	TS	
.	помогу	17300	TS	
.	брось	16722	TS	
.	успокойся	15983	TS	
.	позвони	15435	TS	
.	отдай	14727	TS	
.	заткнись	13645	TS	
.	придурок	13312	TS	
.	держись	13458	TS	
.	поможешь	12891	TS	
.	принеси	12763	TS	
.	ублюдок	12615	TS	
.	передай	13032	TS	
.	принесу	12793	TS	
.	садись	12095	TS	
.	поговорю	12508	TS	
.	дружище	11803	TS	
.	расскажешь	11962	TS	
.	убери	11075	TS	
.	выпьем	11511	TS	
.	постой	10025	TS	
.	умоляю	10023	TS	
.	заберу	10232	TS	
.	останешься	10053	TS	
.	возвращайся	10230	TS	
.	побери	10227	TS	
.	смей	9803	TS	
.	сучка	9561	TS	
.	дашь	9870	TS	
.	нравишься	9855	TS	
.	отпусти	9609	TS	
.	щрн	9263	S	с заглавной 79% · рядом: врн 963, ме 760, ъ 254
.	звони	9054	TS	
.	чертов	9626	TS	
.	схожу	9193	TS	
.	продолжай	9756	TS	
.	положи	8912	TS	
.	проверю	8448	TS	
.	папочка	8929	TS	
.	проверь	9477	TS	
.	верну	8603	TS	
.	ищешь	8847	TS	
.	спишь	8474	TS	
.	вернешься	8431	TS	
.	разберусь	8286	TS	
.	постарайся	7914	TS	
.	справлюсь	7822	TS	
.	поговори	7931	TS	
.	верни	7797	TS	
.	поедешь	8124	TS	
.	нб	7407	S	рядом: рсэрей 949, фп 664, гйб 605
.	дружок	7374	TS	
.	пойдёшь	7490	TS	
.	волнуюсь	7585	TS	
.	выгляжу	7720	TS	
.	урод	7169	TS	
.	стойте	7267	TS	
.	закрой	7766	TS	
.	расслабься	7076	TS	
.	одолжение	6992	TS	
.	псих	7320	TS	
.	закончу	7164	TS	
.	мсье	7481	TS	
.	начинай	7143	TS	
.	оставайся	7974	TS	
.	шлюха	7518	TS	
.	трогай	6955	TS	
.	устроим	7166	TS	
.	беспокойся	6686	TS	
.	захочу	7190	TS	
.	сядь	7015	TS	
.	взгляни	6843	TS	
.	заходи	6748	TS	
.	нравлюсь	6553	TS	
.	займусь	7298	TS	
.	заплачу	6913	TS	
.	выйдешь	7079	TS	
.	слышь	6360	TS	
.	сними	6595	TS	
.	задницы	6373	TS	
.	веди	6304	TS	
.	чёртов	6468	TS	
.	забери	5951	TS	
.	дорогуша	6507	TS	
.	отправлю	6169	TS	
.	ведешь	5940	TS	
.	позволите	6095	TS	
.	придешь	6290	TS	
.	ненавидишь	5866	TS	
.	ответь	6125	TS	
.	принесите	6106	TS	
.	отвезу	6364	TS	
.	сходи	6109	TS	
.	заднице	6338	TS	
.	чёрту	5779	TS	
.	беспокоюсь	6128	TS	
.	братан	6525	TS	
.	сходим	5745	TS	
.	следи	6151	TS	
.	запомни	5737	TS	
.	найдёшь	5917	TS	
.	справишься	6125	TS	
.	подойди	5895	TS	
.	умрешь	5630	TS	
.	убирайся	5955	TS	
.	фп	5869	S	рядом: нб 664, бхфь 314, иб 304
.	сиськи	5711	TS	
.	передам	5531	TS	
.	брошу	5194	TS	
.	болтать	5899	TS	
.	злишься	5971	TS	
.	зови	5404	TS	
.	позабочусь	5697	TS	
.	рассказывай	5536	TS	
.	отойди	5699	TS	
.	попозже	5273	TS	
.	бросай	5861	TS	
.	бро	5718	TS	Прохладная история, бро.
.	уезжаю	5191	TS	
.	прими	5488	TS	
.	попроси	5309	TS	
.	пойдемте	5337	TS	
.	уеду	5744	TS	
.	задница	5662	TS	
.	поможете	5958	TS	
.	остановись	5367	TS	
.	останься	4940	TS	
.	зайду	5284	TS	
.	уходишь	5197	TS	
.	вернёшься	5235	TS	
.	просишь	5012	TS	
