# ПОРЦИЯ ru-052 — 52 из 178. Слова 10201–10400 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	благодаришь	290	TS	
.	кивнул	290	TS	
.	холостые	290	TS	
.	гоню	287	TS	
.	ирод	287	S	с заглавной 64% · рядом: царь 58, ты 18, проклятый 12
.	рубаху	287	TS	
.	содовая	287	S	
.	телепортировать	287	S	
.	желчный	286	TS	
.	таинственно	286	TS	
.	отвожу	285	TS	
.	убиваться	285	TS	
.	дурачились	283	TS	
.	последи	283	TS	
.	прихвачу	283	TS	
.	опасней	282	TS	
.	опускаю	282	TS	
.	орхидея	282	TS	
.	оторви	282	TS	
.	улаживать	282	TS	
.	ходок	282	TS	
.	донесла	281	TS	
.	люстру	281	TS	
.	приподнять	281	TS	
.	закрутить	280	TS	
.	отвлеклись	280	TS	
.	помянем	280	S	
.	спутали	280	TS	
.	выносим	279	TS	
.	пролёте	279	TS	
.	прорывается	279	TS	
.	заставляем	278	S	
.	ползают	278	TS	
.	потолкуем	278	S	
.	набирай	277	TS	
.	отстраниться	277	S	
.	доверху	276	TS	
.	договариваешь	276	TS	
.	мочился	275	S	
.	флейту	275	TS	
.	бросится	274	S	
.	вложи	273	TS	
.	подкину	273	TS	
.	экскременты	273	TS	
.	псйх	272	S	с заглавной 51% · рядом: ббепу 34, х 27, б 24
.	рожки	272	TS	
.	букмекер	271	S	
.	друид	271	S	с заглавной 35% · рядом: хилл 25, гетафикс 18, ты 11
.	заклинатель	271	TS	
.	отдохнёшь	271	TS	
.	удачливый	271	TS	
.	мучеником	270	S	
.	подметки	270	TS	
.	безе	269	TS	
.	путаюсь	268	TS	
.	влезу	267	S	
.	догонялки	267	TS	
.	клятв	267	TS	
.	хахаль	266	TS	
.	лазать	265	TS	
.	пускала	265	TS	
.	драндулет	264	TS	
.	накопал	263	TS	
.	подлить	263	TS	
.	почтим	263	TS	
.	гурман	262	TS	
.	добавку	262	TS	
.	котлету	262	TS	
.	топлесс	262	S	
.	флик	262	S	с заглавной 67% · рядом: трейси 24, дядя 20, кит 14
.	кобылы	261	TS	
.	трансе	260	TS	
.	психами	258	S	
.	злостью	257	TS	
.	оказываемся	257	TS	
.	паникует	257	TS	
.	донизу	256	TS	
.	разрежь	256	TS	
.	фиолетовая	256	TS	
.	невежда	255	TS	
.	опустошил	255	TS	
.	преподал	255	TS	
.	подающий	254	TS	
.	дайкири	253	TS	
.	термостат	253	TS	
.	угадаете	253	TS	
.	путаются	252	TS	
.	свеч	252	TS	
.	бабоньки	251	S	
.	загляденье	251	TS	
.	назовёте	251	TS	
.	напортачила	251	TS	
.	позабыли	251	TS	
.	разбогатели	251	TS	
.	вытянули	250	TS	
.	дикарями	250	TS	
.	затягивай	250	TS	
.	заключаю	249	TS	
.	многообещающий	248	TS	
.	стройте	248	TS	
.	овцой	247	TS	
.	хреновые	247	TS	
.	утех	246	S	
.	штуковиной	246	TS	
.	отступай	245	TS	
.	поснимать	245	S	
.	торгуете	243	TS	
.	шесте	243	TS	
.	сливал	242	TS	
.	фигурально	240	S	
.	кальмары	238	TS	
.	разрываюсь	238	TS	
.	графиню	237	S	
.	довольной	237	TS	
.	пришлешь	236	S	
.	расступитесь	236	TS	
.	тамале	236	S	
.	наполните	235	TS	
.	шикарна	235	S	
.	дарите	233	TS	
.	притормозите	233	TS	
.	упрямиться	233	TS	
.	ганаш	232	S	с заглавной 40% · рядом: натмег 109, шоколадный 23, силки 15
.	билась	231	S	
.	волчонок	231	S	
.	дуреха	231	S	
.	жрал	229	S	
.	звини	227	S	
.	отстраняю	227	TS	
.	незадача	226	TS	
.	унылым	226	TS	
.	внеси	225	TS	
.	домашка	223	TS	
.	силь	223	TS	с заглавной 66% · Ты останешься у Силь.
