# ПОРЦИЯ ru-072 — 72 из 178. Слова 14201–14400 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	бейджик	199	TS	
.	договоришься	199	TS	
.	слайды	199	TS	
.	стыдилась	199	TS	
.	тронулась	199	TS	
.	властитель	198	S	
.	клянёшься	198	TS	
.	логи	198	TS	
.	отведай	198	TS	
.	пьяницу	198	TS	
.	скутера	198	TS	с заглавной 45% · В заключение скажу следующее: Китайские потребители недовольны качеством скутера.
.	сознавать	198	TS	
.	баю	197	TS	Самые известные произведения в китайской поэзии принадлежат Ли Баю.
.	гребите	197	TS	
.	кружево	197	TS	
.	постелях	197	TS	
.	потрогаю	197	TS	
.	ауте	196	TS	
.	мерещатся	196	TS	
.	одеяле	196	S	
.	позавтракала	196	TS	
.	расспросами	196	TS	
.	репортажем	196	S	
.	взывать	195	S	
.	калек	195	S	
.	лекарстве	195	S	
.	подставлял	195	TS	
.	троньте	195	S	
.	шунт	195	S	
.	выживал	194	S	
.	кларнет	194	TS	
.	поздна	194	S	
.	слегла	194	TS	
.	эсквайр	194	S	с заглавной 41% · рядом: журнала 14, барнаби 11, гем 8
.	жандарм	193	S	
.	обречено	193	TS	
.	бастуют	192	TS	
.	двигаешь	192	S	
.	почет	192	S	
.	сияла	192	TS	
.	французик	192	S	с заглавной 40% · рядом: ты 14, этот 10, маленький 8
.	асбест	191	TS	
.	похмельем	191	TS	
.	рутине	191	S	
.	эгоистичны	191	TS	
.	липнут	190	TS	
.	маршируют	190	TS	
.	обманщиком	190	TS	
.	рвали	190	TS	
.	субботнего	190	S	с заглавной 37% · рядом: вечера 164, лихорадка 26, утра 11
.	чековая	190	S	
.	волнующее	189	S	
.	завистью	189	TS	
.	кишке	189	S	
.	латиноамериканцев	189	TS	
.	побудут	189	TS	
.	годитесь	188	TS	
.	зажигали	188	S	
.	подвергну	188	S	
.	понятые	188	S	
.	рубите	188	TS	
.	сникерс	188	S	с заглавной 78% · рядом: мне 9, батончик 9, есть 7
.	шкурки	188	TS	
.	щёлкает	188	TS	
.	аквалангом	187	TS	
.	больном	187	TS	
.	выписалась	187	TS	
.	корзинке	187	TS	
.	набросится	187	TS	
.	начальницу	187	TS	
.	перебежчик	187	S	
.	превращаю	187	S	
.	пронзает	187	TS	
.	закрутил	186	TS	
.	неоценимую	186	TS	
.	перерыли	186	TS	
.	подбрасывает	186	TS	
.	походи	186	S	
.	прикончишь	186	S	
.	воскреснуть	185	S	
.	отдохнёт	185	TS	
.	помёт	185	TS	
.	психую	185	S	
.	взоры	184	TS	
.	кувыркаться	184	TS	
.	макушку	184	TS	
.	пожаловала	184	TS	
.	праведным	184	TS	
.	запечатаны	182	TS	
.	запятнал	182	TS	
.	консьержка	182	S	
.	перископ	182	TS	
.	сходило	182	TS	
.	губишь	181	TS	
.	утроить	181	S	
.	сестричку	180	TS	
.	тверд	180	S	
.	невежливым	179	TS	
.	пишущей	179	TS	
.	погружаюсь	179	S	
.	чисти	179	TS	
.	штормы	179	S	
.	ангелочки	178	S	
.	доживёт	178	TS	
.	парковщик	178	TS	
.	оденет	177	S	
.	воспримешь	176	TS	
.	обеденном	176	TS	
.	ссуда	176	TS	
.	сдаетесь	174	S	
.	унюхал	174	S	
.	заблокируй	173	TS	
.	изгои	173	S	
.	прелестны	173	TS	
.	бесхребетный	172	TS	
.	парят	172	TS	
.	запудрить	171	S	
.	мариачи	171	TS	
.	крошками	169	TS	
.	похороненным	169	TS	
.	старомодна	169	TS	
.	воспитываешь	168	TS	
.	закричит	168	TS	
.	наклони	168	TS	
.	паланкин	168	TS	
.	вывезу	167	S	
.	лягушкой	167	TS	
.	миленькой	167	S	
.	сотрем	167	S	
.	вышвырни	166	S	
.	кукурузных	166	TS	
.	неандерталец	166	S	
.	очистила	166	TS	
.	просверлить	166	S	
.	увидал	166	TS	
.	инете	165	TS	
.	развлекал	165	TS	
.	сдержан	164	TS	
.	фиолетовое	164	TS	
.	уродка	163	S	
.	поспрашивай	162	TS	
.	поджигал	161	S	
.	серёжку	161	TS	
.	щупальцами	161	TS	
.	бойкая	160	TS	
.	брюхом	160	TS	
.	латины	160	TS	
.	медлишь	160	TS	
.	органическую	160	TS	
.	повернешь	160	TS	
.	тпру	160	S	
.	шерифы	160	S	
