# ПОРЦИЯ ru-002 — 2 из 178. Слова 201–400 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	позови	3767	TS	
.	подумаю	3980	TS	
.	скучал	3709	TS	
.	сяду	3786	TS	
.	встань	4149	TS	
.	тако	3850	TS	
.	нервничаю	4047	TS	
.	братец	3994	TS	
.	носишь	4082	TS	
.	ложись	4154	TS	
.	займись	4084	TS	
.	разговариваешь	4017	TS	
.	приедешь	3925	TS	
.	тачку	3882	TS	
.	поезжай	3859	TS	
.	позволяй	3746	TS	
.	сыграем	4172	TS	
.	подними	4223	TS	
.	отпущу	4059	TS	
.	пришлю	4009	TS	
.	встречаешься	3984	TS	
.	расскажете	3866	TS	
.	отправь	3974	TS	
.	отойдите	3767	TS	
.	придёшь	3936	TS	
.	молчи	3994	TS	
.	чертовы	4155	S	
.	солгал	3747	TS	
.	сниму	3915	TS	
.	смеешь	4162	TS	
.	пытайся	3972	TS	
.	называй	4232	TS	
.	доверяешь	3984	TS	
.	йо	4043	S	с заглавной 38% · рядом: йо 824, эй 282, ты 148
.	ведёшь	3733	TS	
.	покажешь	3798	TS	
.	теряю	3411	TS	
.	гад	3613	TS	Ну не гад?
.	коммандер	3758	S	
.	подери	3486	TS	
.	синьора	3733	TS	
.	облажался	3481	TS	
.	сраный	3472	TS	
.	братишка	3715	TS	
.	отдашь	3903	TS	
.	минуточку	3852	TS	
.	кбй	3560	S	рядом: нб 255, иб 182, фп 180
.	помогаешь	3985	TS	
.	опаздываю	3790	TS	
.	съешь	3699	TS	
.	положу	3661	TS	
.	гляди	3745	TS	
.	переживаешь	3361	TS	
.	береги	3692	TS	
.	выпью	3851	TS	
.	иб	3580	S	рядом: ден 435, фп 304, ьфй 211
.	злюсь	3620	TS	
.	поймаем	3521	TS	
.	еянбй	3825	S	
.	заставляй	3541	TS	
.	включи	3474	TS	
.	отправимся	3737	TS	
.	забудешь	3365	TS	
.	проходи	3026	TS	
.	используешь	3780	TS	
.	попытаюсь	3700	TS	
.	осторожней	3897	TS	
.	отвечаешь	3628	TS	
.	герр	3677	TS	
.	переспать	3651	TS	
.	умрёшь	3802	TS	
.	останови	3674	TS	
.	поедим	3594	TS	
.	звонишь	3400	TS	
.	дамочка	3403	S	
.	допоздна	3417	TS	
.	ребятки	3376	TS	
.	убьешь	3661	S	
.	шутишь	3479	TS	
.	мн	3609	S	с заглавной 62% · рядом: ъ 469, щрн 221, ме 142
.	убедись	3498	TS	
.	чертову	3408	TS	
.	перестанешь	3349	TS	
.	пусти	3265	TS	
.	отстань	3572	TS	
.	миледи	3258	S	
.	возражаешь	3064	TS	
.	съем	3766	TS	
.	спрашивай	3263	TS	
.	поймёшь	3836	TS	
.	ублюдка	3483	TS	
.	неси	3461	TS	
.	поверю	3330	TS	
.	дыши	3286	TS	
.	гони	3405	TS	
.	надену	3241	TS	
.	мерзавец	2975	TS	
.	ошибаешься	3508	TS	
.	творишь	3313	TS	
.	поищу	3442	TS	
.	честен	3385	TS	
.	потеряешь	3440	TS	
.	пожалеешь	3365	TS	
.	отведу	3287	TS	
.	чист	3120	TS	
.	спорим	3483	TS	
.	постойте	3552	TS	
.	позвонишь	3396	TS	
.	заслуживаю	3324	TS	
.	говнюк	3297	TS	
.	откажусь	3002	TS	
.	женюсь	2990	TS	
.	козёл	2896	TS	
.	башку	3680	TS	
.	тащи	3605	TS	
.	дерьме	3585	TS	
.	приедем	3121	TS	
.	копам	3111	TS	
.	завидую	3510	TS	
.	научу	3249	TS	
.	познакомься	3414	TS	
.	забираю	3338	TS	
.	уедешь	3164	TS	
.	дурацкий	3495	TS	
.	позаботься	3324	TS	
.	зайди	3121	TS	
.	разберёмся	3176	TS	
.	кайфом	3119	TS	
.	благослови	2965	TS	
.	несу	2917	TS	
.	тачка	2768	TS	
.	придумаем	3407	TS	
.	успеешь	3291	TS	
.	проваливай	3154	TS	
.	йоу	3132	TS	Йоу, парень, эта херня очуменная.
.	поздороваться	3243	TS	
.	уезжаешь	2970	TS	
.	тупица	3131	TS	
.	забываю	3086	TS	
.	приведите	2980	TS	
.	жалкий	3497	TS	
.	начнешь	3329	TS	
.	услышишь	3269	TS	
.	хватай	3361	TS	
.	двигайся	3176	TS	
.	приказываю	2978	TS	
.	кретин	3379	TS	
.	виню	2711	TS	
.	желаешь	3042	TS	
.	выключи	2968	TS	
.	очнись	2845	TS	
.	вздумай	3225	TS	
.	находишь	2990	TS	
.	забочусь	2942	TS	
.	светлость	2938	TS	с заглавной 39% · Ваша светлость, позвольте мне удалиться.
.	скучала	2956	TS	
.	сообщи	3005	TS	
.	ступай	3331	TS	
.	гребаный	2918	S	
.	умрем	3244	TS	
.	трахаться	3089	TS	
.	позаботится	3419	TS	
.	давненько	2869	TS	
.	трахнуть	3309	TS	
.	здрасьте	3185	TS	
.	решишь	2901	TS	
.	попаду	2999	TS	
