# ПОРЦИЯ ru-084 — 84 из 178. Слова 16601–16800 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	петухи	263	TS	
.	поселил	263	S	
.	прикованы	263	TS	
.	сводили	262	TS	
.	субординации	262	TS	
.	блёстки	261	S	
.	муженька	261	S	
.	дотронешься	259	TS	
.	блузке	258	TS	
.	девчат	258	S	
.	отдуваться	258	TS	
.	притащи	258	TS	
.	улетят	258	TS	
.	выставишь	257	TS	
.	гадкое	257	TS	
.	знакомишься	257	TS	
.	малиновый	257	TS	
.	отделали	257	S	
.	погрязли	257	TS	
.	утомила	257	TS	
.	адвокате	256	TS	
.	вспоминайте	256	TS	
.	неслыханно	256	TS	
.	подводила	256	TS	
.	влияешь	255	TS	
.	допускаешь	255	TS	
.	создавай	255	TS	
.	ямочки	255	TS	
.	прикинуть	254	TS	
.	пуделя	254	TS	
.	церемониться	254	TS	
.	пердёж	253	S	
.	разразится	253	TS	
.	сразись	253	TS	
.	стишки	253	S	
.	войдёте	252	S	
.	выказать	252	TS	
.	мобилу	252	S	
.	наггетсы	252	TS	
.	пушистик	252	S	с заглавной 54% · рядом: привет 12, ты 10, мой 10
.	чьем	252	S	
.	газетчики	251	TS	
.	отаку	251	S	
.	сурок	251	TS	
.	тонкому	251	TS	
.	чину	251	TS	с заглавной 36% · рядом: моему 9, председателю 6, налог 5
.	выпроводить	249	TS	
.	градусник	249	TS	
.	прогонит	249	S	
.	выручи	248	TS	
.	перейдите	248	TS	
.	пх	248	S	рядом: ую 246, мсмю 17, дс 13
.	чокнулась	248	TS	
.	буль	247	TS	с заглавной 54% · рядом: буль 150, ла 10, мадемуазель 7
.	выкурим	247	S	
.	празднуете	247	TS	
.	дерьмовом	246	S	
.	заразный	246	TS	
.	порвёт	246	TS	
.	богомол	244	TS	с заглавной 56% · «Мам, почему у нас нет отца?» – спросил маленький богомол.
.	заработай	244	TS	
.	отметина	244	TS	
.	повязать	244	TS	
.	притворились	244	TS	
.	прочтёт	244	TS	
.	тронуты	244	TS	
.	упущение	244	TS	
