# ПОРЦИЯ ru-004 — 4 из 178. Слова 601–800 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	вытащим	2337	TS	
.	приготовь	1989	TS	
.	притащил	2288	TS	
.	оставите	2176	TS	
.	перезвони	2318	TS	
.	поищи	2132	TS	
.	признателен	2529	TS	
.	вернём	2486	TS	
.	попросишь	2366	TS	
.	привезу	2249	TS	
.	грёбаный	2157	TS	
.	штучка	2366	TS	
.	попытайся	2321	TS	
.	свяжитесь	2282	TS	
.	проведём	2205	TS	
.	фотку	2189	TS	
.	вызови	2187	TS	
.	превосходительство	2534	TS	с заглавной 40% · В точности, как приказано, ваше превосходительство.
.	выпивки	2320	TS	
.	храни	2155	TS	
.	упоминала	2136	TS	
.	присядь	2497	TS	
.	скрываешь	2171	TS	
.	ставь	2121	TS	
.	присаживайтесь	2113	TS	
.	согласишься	2018	TS	
.	откроешь	2487	TS	
.	принимай	2419	TS	
.	даёшь	2389	TS	
.	чёртову	2197	TS	
.	выберу	2179	TS	
.	запишу	1964	TS	
.	бяе	2385	S	с заглавной 77% · рядом: врн 185, щрн 158, х 140
.	милочка	2372	TS	
.	лови	2292	TS	
.	заставляешь	2288	TS	
.	стараешься	2417	TS	
.	пущу	2068	TS	
.	пьёшь	1885	TS	
.	великолепна	1986	TS	
.	сходишь	1957	TS	
.	показывай	1924	TS	
.	обращай	2268	TS	
.	посидим	2187	TS	
.	ужину	2067	TS	
.	натворила	1972	TS	
.	разбираешься	1884	TS	
.	пойдёте	2313	TS	
.	фпн	2150	S	рядом: ме 252, нб 217, гйб 182
.	входи	2110	TS	
.	собирай	2024	TS	
.	уберу	2417	TS	
.	умрём	2395	TS	
.	сдам	2353	TS	
.	торопись	2188	TS	
.	спасите	2164	TS	
.	несите	2018	TS	
.	поговоришь	2309	TS	
.	трусики	2240	TS	
.	забирайте	2227	TS	
.	уничтожим	2022	TS	
.	закажу	1893	TS	
.	отправлюсь	2366	TS	
.	вылезай	2260	TS	
.	опоздаем	2137	TS	
