# ПОРЦИЯ ru-140 — 140 из 178. Слова 27801–28000 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	придумывая	153	TS	
.	родите	153	S	
.	самонадеянность	153	TS	
.	требователен	153	TS	
.	худого	153	TS	
.	бодр	152	TS	
.	бычий	152	S	
.	загонял	152	TS	
.	кричащих	152	S	
.	ларька	152	TS	
.	мелки	152	TS	
.	отворачиваются	152	TS	
.	пожарю	152	TS	
.	похитим	152	S	
.	поясни	152	TS	
.	прилегла	152	S	
.	прорвалась	152	S	
.	противоестественно	152	TS	
.	тыкали	152	TS	
.	употребляете	152	TS	
.	япошек	152	S	
.	вазэктомию	151	S	
.	задет	151	TS	
.	изобразила	151	TS	
.	наказуемо	151	TS	
.	окаянный	151	TS	
.	полезайте	151	TS	
.	бейсболом	150	TS	
.	боло	150	S	с заглавной 64% · рядом: галстук 19, помощью 4, мистер 4
.	доброкачественная	150	TS	
.	докучает	150	TS	
.	инфракрасные	150	TS	
.	конклава	150	S	с заглавной 65% · рядом: против 8, приказу 7, ход 6
.	ликером	150	S	
.	маек	150	S	
.	макаки	150	S	
.	мотели	150	TS	
.	обняли	150	TS	
.	объятьями	150	S	
.	оживили	150	TS	
.	отчаливать	150	TS	
.	питьё	150	TS	
.	подвергнется	150	S	
.	пожала	150	TS	
.	приманить	150	S	
.	произведёт	150	TS	
.	развалил	150	TS	
.	сброда	150	TS	
.	севиче	150	TS	
.	созерцать	150	TS	
.	ударите	150	TS	
.	дотронусь	149	TS	
.	засомневалась	149	TS	
.	зубе	149	S	
.	лаяла	149	TS	
.	лживого	149	TS	
.	пацанчик	149	TS	
.	плиз	149	TS	
.	поганого	149	S	
.	сырную	149	TS	
.	бреется	148	TS	
.	вок	148	S	с заглавной 48% · рядом: есть 7, вок 6, всегда 4
.	вопят	148	TS	
.	вселилось	148	S	
.	измерим	148	TS	
.	колесиках	148	S	
.	ликёра	148	TS	
.	лихом	148	TS	
.	лопаткой	148	TS	
.	металлоискатель	148	TS	
.	наберёт	148	TS	
.	нелёгкое	148	TS	
.	отчиму	148	S	
.	порадуется	148	TS	
.	похоронная	148	S	
.	промыла	148	TS	
.	резервуаре	148	S	
.	складывал	148	TS	
.	срач	148	TS	
.	багровый	147	TS	с заглавной 58% · рядом: рыцарь 65, цвет 29, прилив 22
.	выложились	147	S	
.	дальтоник	147	TS	
.	дядьки	147	S	
.	злишь	147	TS	
.	комплимента	147	S	
.	лупил	147	S	
.	мопс	147	S	
.	повернём	147	TS	
.	подожги	147	S	
.	разошлите	147	TS	
.	спалился	147	S	
.	экзорциста	147	S	
.	бешусь	146	S	
.	вскружила	146	TS	
.	куколок	146	S	
.	осквернять	146	S	
.	отметин	146	S	
.	подмигнула	146	TS	
.	пощупай	146	TS	
.	проберёмся	146	S	
.	разоблачит	146	S	
.	расчистим	146	S	
.	таскался	146	S	
.	язвить	146	TS	
.	активировано	145	S	
.	вытворяете	145	TS	
.	геймер	145	TS	
.	диктую	145	TS	
.	договаривай	145	TS	
.	накуриться	145	S	
.	неплохих	145	TS	
.	приказываете	145	TS	
.	робко	145	TS	
.	удивителен	145	TS	
.	якорем	145	S	
.	ярмо	145	TS	
.	аутист	144	TS	
.	вестерны	144	TS	
.	герыч	144	S	
.	колумбийцев	144	TS	
.	континуума	144	S	
.	купюрах	144	TS	
.	лидокаин	144	S	
.	махали	144	TS	
.	мокнуть	144	TS	
.	накачался	144	TS	
.	напрягают	144	TS	
.	оправдываешься	144	TS	
.	отчаявшимся	144	TS	
.	подвернётся	144	TS	
.	понимающая	144	TS	
.	равнодушны	144	TS	
.	раскусят	144	S	
.	расхаживает	144	TS	
.	соболезнуем	144	S	
.	сучкам	144	S	
.	устанете	144	TS	
.	шаблону	144	TS	
.	валета	143	TS	
.	изнасиловала	143	TS	
.	кабельном	143	S	
.	крикните	143	S	
.	кувалду	143	S	
.	непомерно	143	TS	
.	непредвзято	143	S	
.	обождать	143	S	
.	овладеет	143	TS	
.	отскакивает	143	TS	
.	перемешалось	143	TS	
.	поселюсь	143	S	
.	привидениях	143	TS	
.	прощено	143	TS	
.	родильном	143	TS	
.	сбрендила	143	S	
.	удивите	143	TS	
.	хакнули	143	TS	
.	высосет	142	S	
.	достигаешь	142	TS	
.	моллюска	142	S	
.	обернусь	142	S	
.	огорчилась	142	TS	
.	передохну	142	TS	
.	перепадает	142	S	
.	пещерного	142	TS	
.	расчувствовался	142	TS	
.	сэры	142	S	
.	тарелочку	142	TS	
.	уговорит	142	TS	
.	хипстер	142	TS	
.	едьте	141	TS	
.	задрали	141	TS	
.	игуана	141	TS	
.	минивэне	141	S	
.	негритянка	141	TS	
.	одевайте	141	S	
.	пауз	141	S	
.	пломбир	141	TS	
.	просветил	141	S	
.	рьнщ	141	S	
.	синяка	141	TS	
.	склонился	141	TS	
.	уборные	141	TS	
.	двенадцатая	140	TS	
.	загораживаешь	140	TS	
.	компа	140	TS	
.	лани	140	TS	с заглавной 44% · Помимо волков, в лесу также есть белки и лани.
.	милосердным	140	TS	
.	монсеньер	140	S	
.	нарциссы	140	TS	
.	необъяснимых	140	S	
.	обдурили	140	TS	
.	пассия	140	TS	
.	племяшка	140	S	
.	постояльца	140	S	
.	предлагайте	140	TS	
.	пропавшее	140	S	
.	расслаблена	140	TS	
.	свалюсь	140	TS	
.	сворачивайте	140	TS	
.	сексуальностью	140	S	
