# ПОРЦИЯ ru-104 — 104 из 178. Слова 20601–20800 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	расческу	235	TS	
.	властный	234	TS	
.	занимательно	234	TS	
.	пилит	234	TS	
.	деревушка	233	TS	
.	жадностью	233	TS	
.	нераскрытое	233	S	
.	разведён	233	TS	
.	преподобным	232	S	
.	заводила	231	S	
.	раздавила	231	TS	
.	бюрократы	230	TS	
.	винтаж	230	TS	
.	бубенцы	229	S	
.	изумительные	229	S	
.	щепотка	229	TS	
.	безвкусно	228	TS	
.	вытянешь	228	TS	
.	выручит	227	TS	
.	прилипло	227	TS	
.	тварями	227	TS	
.	мамаш	226	S	
.	наставлять	226	S	
.	ослышался	226	TS	
.	твердость	226	S	
.	вцепились	225	TS	
.	заботить	225	TS	
.	пинком	225	TS	
.	порази	225	S	
.	приперлась	225	S	
.	станется	225	TS	
.	говнюков	224	S	
.	родней	224	S	
.	батончиков	223	S	
.	воткнули	223	S	
.	закатим	223	TS	
.	зашифрованные	223	S	
.	долетели	222	TS	
.	жу	222	S	с заглавной 75% · рядом: ли 37, мадам 23, вей 20
.	печется	222	S	
.	суперспособности	222	TS	
.	тосковал	222	TS	
.	боготворил	221	TS	
.	девичника	221	S	
.	сделается	221	TS	
.	увлечься	221	S	
.	лохмотьях	220	TS	
.	потягаться	220	S	
.	прислало	220	S	
.	секу	220	S	с заглавной 35% · рядом: ба 21, да 20, секу 10
.	созванивались	220	TS	
.	ушибов	220	TS	
.	шлюшкой	220	S	
.	жульничает	219	TS	
.	загробную	219	TS	
.	пиратская	219	TS	
.	померли	219	S	
.	посидела	219	TS	
.	пункцию	219	S	
.	долетел	218	TS	
.	зассал	218	S	
.	пердеж	218	S	
.	повернусь	218	TS	
.	устраивайте	218	TS	
.	утиль	218	TS	
.	флиртовали	218	TS	
.	маринад	217	S	
.	наживки	217	TS	
.	поживей	217	TS	
.	пререкаться	217	TS	
.	съедобный	217	TS	
.	щелкнуть	217	TS	
.	мальчишкам	216	S	
.	одержимостью	216	S	
.	погнались	216	TS	
.	подпевать	216	TS	
.	пообедаю	216	TS	
.	упокоится	216	TS	
.	бмхг	215	S	
.	картошке	215	TS	
.	неповторимая	215	TS	
.	трюками	215	TS	
.	цветку	215	TS	
.	бедолаги	214	S	
.	подвернется	214	S	
.	подсластить	214	TS	
.	рванули	214	TS	
.	столовке	214	S	
.	юбками	214	TS	
.	ворчишь	213	TS	
.	девичнике	213	S	
.	обижайте	213	TS	
.	побродить	213	TS	
.	пуговицами	213	TS	
.	солёный	213	TS	
.	доходчиво	212	TS	
.	живчик	212	TS	с заглавной 35% · Он настоящий живчик.
.	вспыльчив	211	TS	
.	зевай	211	S	
.	опиоиды	211	S	
.	придумываем	211	S	
.	пчелиный	211	TS	
.	хлебных	211	TS	
.	заглядываю	210	TS	
.	здороваешься	210	TS	
.	ненормального	210	TS	
.	отваливаются	210	TS	
.	превосходны	210	TS	
.	сочится	210	TS	
.	тент	210	S	
.	наорать	209	S	
.	отсталая	209	TS	
.	пожми	209	TS	
.	вывихнула	208	TS	
.	законопослушный	208	TS	
.	замечательна	208	TS	
.	засунут	208	S	
.	кредитками	208	S	
.	ослепительно	208	TS	
.	прижмись	208	TS	
.	призрачная	208	S	
.	присматриваем	208	TS	
.	самба	208	TS	
.	уговорите	208	TS	
.	гвоздем	207	S	
.	магазинчика	207	S	
.	отвращением	207	TS	
.	подведёшь	207	TS	
.	пошлый	207	TS	
.	улавливаешь	207	TS	
.	учуяла	207	TS	
.	хромать	207	TS	
.	воображаемого	206	TS	
.	отличишь	206	TS	
.	переснять	206	TS	
.	пословицу	206	TS	
.	постоял	206	TS	
.	похорошела	206	TS	
.	рылись	206	TS	
.	рюмка	206	TS	
.	старомодной	206	S	
.	кассирша	205	TS	
.	листочек	205	TS	
.	оценю	205	S	
.	прочесывают	205	TS	
.	затычки	204	S	
.	индейский	204	S	
.	испить	204	TS	
.	поборемся	204	TS	
.	серьёзна	204	TS	
.	това	204	S	с заглавной 77% · рядом: госпожа 8, че 7, тв 7
.	беспечный	203	TS	
.	бух	203	TS	Как вылупился утёнок, так и бух в воду.
.	вуки	203	S	
.	запачкал	203	TS	
.	погуглила	203	TS	
.	прошёлся	203	TS	
.	пыс	203	S	рядом: еимаи 24, ха 24, йаи 24
.	распутная	203	TS	
.	сдаёмся	203	TS	
.	уродлива	203	TS	
.	аха	202	S	рядом: ха 20, точно 8, да 8
.	ворчливый	202	TS	
.	пергамент	202	TS	
.	поживёшь	202	TS	
.	поспорила	202	TS	
.	простушка	202	S	
.	разорался	202	TS	
.	халтура	202	TS	
.	двигал	201	TS	
.	еяче	201	S	
.	малиной	201	TS	
.	переродиться	201	S	
.	предупредит	201	TS	
.	раздобудь	201	TS	
.	сумашедшая	201	S	
.	утешал	201	TS	
.	чмошник	201	S	
.	амигос	200	S	
.	бессознательное	200	S	
.	вступишь	200	TS	
.	запечатал	200	TS	
.	змеёй	200	TS	
.	необъяснимые	200	TS	
.	отпугивать	200	TS	
.	пилюль	200	TS	
.	подавится	200	S	
.	провернем	200	S	
.	сеансах	200	S	
.	уставившись	200	TS	
.	выстрелите	199	TS	
.	завидуй	199	TS	
.	кемпинге	199	TS	
.	моле	199	TS	
.	одеяльце	199	S	
.	оторвёт	199	TS	
.	расквитаться	199	TS	
.	срываешь	199	TS	
.	тусовок	199	S	
.	туфельку	199	TS	
