# ПОРЦИЯ ru-054 — 54 из 178. Слова 10601–10800 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	подпускай	281	TS	
.	херам	281	S	
.	отдыхаете	280	TS	
.	наголо	279	TS	
.	оперативника	279	S	
.	смылись	279	S	
.	хрьсчей	279	S	
.	виселицы	278	TS	
.	висок	278	TS	
.	матке	278	TS	
.	накормила	278	TS	
.	кружат	277	TS	
.	поправим	277	S	
.	вкладываешь	276	TS	
.	доедать	276	TS	
.	попкорном	276	TS	
.	разбейте	276	TS	
.	инцест	275	S	
.	пылинки	275	TS	
.	снесёт	275	S	
.	кладём	274	TS	
.	мятные	274	S	
.	румпель	274	S	с заглавной 78% · рядом: ты 12, сказал 11, меня 9
.	утеса	274	TS	
.	игнорируете	273	TS	
.	хорек	273	S	
.	чуждо	273	TS	
.	погладь	272	TS	
.	терпеливой	272	TS	
.	уговори	272	TS	
.	улизнул	272	TS	
.	взмах	271	TS	
.	музой	271	S	
.	невыносимый	271	TS	
.	вступаешь	270	TS	
.	разучилась	270	TS	
.	срал	270	TS	
.	чудесна	270	TS	
.	поссорить	269	TS	
.	косарей	268	TS	
.	клевое	267	S	
.	развлекалась	267	S	
.	усугублять	267	S	
.	ведомо	266	S	
.	пошлешь	266	S	
.	закаты	265	TS	
.	мейл	265	S	
.	выдаешь	264	S	
.	заблуждаетесь	264	TS	
.	устроимся	263	TS	
.	целишься	263	TS	
.	радуетесь	262	TS	
.	выдалось	261	TS	
.	выпишем	261	S	
.	шмоток	261	TS	
.	доберись	260	TS	
.	закройся	260	TS	
.	поить	260	TS	
.	разе	259	TS	
.	тормозишь	259	TS	
.	умника	259	TS	
.	лжеца	258	TS	
.	коньяку	257	TS	
.	перелезть	257	TS	
.	яйце	257	S	
.	жмите	256	TS	
.	отчаянием	256	TS	
.	паникую	256	TS	
.	разложил	256	TS	
.	туалетный	256	TS	
.	домашкой	255	TS	
.	коробочке	255	TS	
.	купидона	255	TS	с заглавной 80% · Его пронзила стрела Купидона.
.	клясться	254	TS	
.	конклав	254	S	с заглавной 56% · рядом: хочет 8, последний 7, собрался 6
.	растоптать	254	S	
.	заглох	253	TS	
.	пирсу	253	TS	с заглавной 62% · Он прогуливается по пирсу.
.	свиньёй	253	TS	
.	усыновила	253	TS	
.	знатная	252	TS	
.	роме	252	TS	с заглавной 60% · Тому Тому — кружку рома, тому Роме — бокал вина.
.	укротить	252	S	
.	инвалидное	251	TS	
.	отвёртку	251	TS	
.	скитаться	251	TS	
.	накачала	250	S	
.	утонем	250	S	
.	воют	249	TS	
.	выдра	249	TS	
.	передвигать	249	TS	
.	сценку	249	S	
.	топтать	248	TS	
.	фата	248	S	с заглавной 40% · рядом: моргана 24, моя 8, свадебная 7
.	приведете	247	S	
.	винтик	246	TS	
.	картели	246	S	
.	поджидать	246	S	
.	брошусь	245	TS	
.	объясняешь	245	TS	
.	одеяние	244	TS	
.	прогоните	241	TS	
.	прочтете	241	TS	
.	распорядитель	241	TS	
.	грязнуля	240	TS	
.	потренируемся	240	TS	
.	прогонять	240	TS	
.	просыпаетесь	239	TS	
.	вешалка	238	TS	
.	одарил	237	TS	
.	салфетке	237	TS	
.	санитара	237	S	
.	вступайте	236	TS	
.	карлики	236	TS	
.	подмигнул	236	TS	
.	взбредет	235	S	
.	воцарится	235	TS	
.	гнусное	235	TS	
.	одеваю	235	S	
.	поджарили	233	S	
.	ложечки	232	TS	
.	доживешь	231	TS	
.	фак	230	S	с заглавной 35% · Том показал Мэри фак.
.	хныкать	229	TS	
.	коровье	228	TS	
.	стриптизёрша	228	TS	
.	двуличный	227	TS	
.	виагру	226	S	с заглавной 35% · рядом: принял 16, принимает 11, принимаю 8
.	жевал	226	TS	
.	гуляйте	225	TS	
.	диабетик	225	TS	
.	завещала	224	TS	
.	зачатие	222	TS	
.	подписываешь	222	TS	
.	отчаялись	221	TS	
.	взад	219	TS	
.	нарекаю	218	S	
.	переоденешься	218	S	
.	дешевом	216	TS	
.	карамельный	214	TS	
.	нарывайся	213	TS	
.	нюхаю	213	TS	
.	трюком	213	TS	
.	растворилась	211	TS	
.	похорони	210	TS	
.	напьется	207	S	
.	влезешь	206	S	
.	воспитанные	206	TS	
.	оксиконтина	206	S	с заглавной 70% · рядом: таблеток 11, рекламе 9, дозы 6
.	выпиваем	205	TS	
.	фантома	204	S	с заглавной 79% · рядом: красного 12, господина 10, этого 6
.	калачиком	202	TS	
.	выкрутился	199	TS	
.	загребли	199	S	
.	пеленок	196	S	
.	двойня	195	TS	
.	пачкой	194	S	
.	выловить	190	TS	
.	живца	190	TS	
.	свят	190	S	
.	провинилась	188	TS	
.	вылезал	185	TS	
.	харам	182	TS	с заглавной 54% · Это полный харам.
.	выродки	176	TS	
.	бандитские	171	S	
.	тушеное	170	TS	
.	валиум	455	S	
.	потрясная	453	S	
.	ворчать	444	TS	
.	обойду	439	S	
.	проникнет	433	S	
.	растопить	429	TS	
.	индейца	427	TS	
.	изменюсь	425	TS	
.	брезент	420	TS	
.	вылил	420	TS	
.	постучи	412	TS	
.	продался	403	TS	
.	смущен	400	TS	
.	физиономию	397	TS	
.	плюшевого	394	TS	
.	лечите	393	TS	
.	вынеси	388	TS	
.	увлекаешься	385	TS	
.	горды	382	TS	
.	отрежем	381	S	
.	распутать	381	TS	
.	сестренку	381	TS	
.	встанете	378	TS	
.	бокальчик	377	TS	
.	клюнул	376	TS	
.	слышится	376	TS	
.	лысым	374	TS	
.	переполняют	374	TS	
.	сальса	374	S	
.	раздеть	369	TS	
.	господни	367	TS	с заглавной 74% · Пути господни неисповедимы.
.	остроумный	366	TS	
.	скользкие	366	TS	
.	толстячок	365	S	
