# ПОРЦИЯ ru-075 — 75 из 178. Слова 14801–15000 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	разругались	209	TS	
.	великах	208	TS	
.	обвела	208	TS	
.	отродясь	208	TS	
.	просыпаемся	208	TS	
.	свиное	208	S	
.	соучастница	208	TS	
.	точить	208	TS	
.	удержим	208	TS	
.	экстрасенса	208	S	
.	залила	207	TS	
.	ляпнуть	207	S	
.	пробейте	207	TS	
.	урне	207	TS	
.	усложнилось	207	TS	
.	дробовиком	206	S	
.	заглажу	206	S	
.	красоваться	206	S	
.	обыскивает	206	TS	
.	помянуть	206	S	
.	разуй	206	TS	
.	сайлон	206	S	с заглавной 35% · рядом: вы 15, один 11, ты 9
.	заигрывал	205	S	
.	колумбийцы	205	TS	
.	морепродуктами	205	TS	
.	похотливая	205	S	
.	сотрите	205	TS	
.	чрево	205	S	
.	ананасовый	204	TS	
.	ангельское	204	TS	
.	девкам	204	S	
.	житья	204	TS	
.	паэлью	204	TS	
.	прибралась	204	TS	
.	липкое	203	TS	
.	охает	203	S	
.	постарели	203	TS	
.	потревожили	203	TS	
.	рассеять	203	S	
.	сопляка	203	S	
.	спёрли	203	TS	
.	дорожил	202	TS	
.	раздуть	202	TS	
.	слазь	202	TS	
.	четвертаки	202	S	
.	бессердечным	201	TS	
.	неприятна	201	TS	
.	охраняешь	201	S	
.	умчался	201	TS	
.	чистим	201	TS	
.	булочками	200	TS	
.	вертеле	200	TS	
.	задашь	200	TS	
.	ломиться	200	TS	
.	прибили	200	TS	
.	рассеивается	200	TS	
.	селезенку	200	S	
.	чудесен	200	TS	
.	пролетят	199	S	
.	пузом	199	S	
.	убавь	199	TS	
.	шустрее	199	TS	
.	вырастит	198	TS	
.	выхлоп	198	TS	
.	марионетку	198	TS	
.	влезаю	197	TS	
.	вожаком	197	S	
.	морозилки	197	TS	
.	оплошал	197	TS	
.	сплавить	197	TS	
.	улетайте	197	TS	
.	увозите	196	S	
.	шарю	196	TS	
.	безбрачия	195	TS	
.	врежемся	195	S	
.	выводим	195	S	
.	обзывают	195	TS	
.	отвратительными	195	TS	
.	призрачного	195	S	с заглавной 53% · рядом: убийцы 25, лица 13, шанса 11
.	создадите	195	S	
.	дырявая	194	TS	
.	лнлнйн	194	S	
.	подчиняемся	194	TS	
.	шарам	194	S	
.	вишенку	193	S	
.	коленей	193	TS	
.	миниатюрная	193	TS	
.	панихиду	193	S	
.	создателю	193	TS	с заглавной 42% · Это произведение стоило жизни его создателю.
.	задуй	192	TS	
.	пакетика	192	S	
.	вылазка	191	S	
.	задроты	191	S	
.	конспект	190	TS	
.	отравленный	190	S	
.	кокоса	189	TS	
.	предъявит	189	S	
.	старенькая	189	TS	
.	влюблялись	188	TS	
.	дверную	188	TS	
.	жадина	188	TS	
.	нанимаешь	188	S	
.	пожарник	188	TS	
.	порвана	188	TS	
.	факсом	188	TS	
.	хулиганами	188	TS	
.	шажок	187	S	
.	голограмму	186	TS	
.	отменное	186	TS	
.	перезванивать	186	TS	
.	почуяла	186	TS	
.	смешала	186	TS	
.	неверную	185	TS	
.	рыбачили	185	S	
.	хомячка	185	TS	
.	законник	184	S	
.	дикарка	183	S	
.	наскучил	183	TS	
.	папином	183	S	
.	разорились	183	TS	
.	хитёр	183	TS	
.	взволновало	182	TS	
.	заработался	182	TS	
.	заявите	182	S	
.	лишаю	182	TS	
.	обоснованное	182	TS	
.	потел	182	TS	
.	нажимайте	181	TS	
.	салаги	181	S	
.	бачок	180	TS	
.	злокачественная	180	TS	
.	зэк	180	TS	Я бывший зэк.
.	предсказатель	180	TS	
.	сахарок	180	S	с заглавной 35% · рядом: коричневый 12, меня 8, ты 8
.	шрамах	180	TS	
.	воспитаю	179	TS	
.	обменяла	179	TS	
.	телепатически	179	S	
.	тревожило	179	TS	
.	дурашка	178	TS	
.	колотая	178	S	
.	нападу	178	TS	
.	неприятны	178	TS	
.	огнемет	178	S	
.	распорядитесь	178	TS	
.	выследит	177	S	
.	грубиянка	177	S	
.	соберете	177	S	
.	стрельнуть	177	TS	
.	двигаю	176	TS	
.	навреди	176	TS	
.	виагры	175	S	с заглавной 39% · рядом: без 12, немного 7, сколько 5
.	загонит	175	S	
.	конгрессмену	175	S	
.	подарку	175	TS	
.	провоцируй	175	TS	
.	прогулы	175	TS	
.	протестант	175	TS	
.	бросаюсь	174	S	
.	выручу	174	TS	
.	запугивал	174	TS	
.	соплячка	174	S	
.	шторме	174	TS	
.	испугаешь	173	TS	
.	побаиваюсь	173	TS	
.	валиума	172	S	
.	пропускаете	172	TS	
.	цепляюсь	172	S	
.	бездне	171	TS	
.	водолаз	171	TS	
.	демонической	171	S	
.	неверующий	171	TS	
.	сфоткаемся	171	S	
.	сэмпай	171	S	
.	внимательной	170	TS	
.	мудрено	170	TS	
.	облажаемся	170	S	
.	расцвели	170	TS	
.	шприца	170	TS	
.	ненавидь	169	TS	
.	резвый	169	S	
.	выкрутится	168	TS	
.	выписывали	168	TS	
.	галантный	168	TS	
.	конуру	167	TS	
.	перерыл	167	TS	
.	снизим	167	TS	
.	старичков	167	S	
.	безрассудства	166	TS	
.	наколоть	166	S	
.	споткнуться	166	TS	
.	касайся	165	TS	
.	рассердились	164	TS	
.	обморока	163	TS	
.	постыдное	162	TS	
.	скупщик	162	TS	
.	хоронит	162	TS	
.	гы	161	S	с заглавной 74% · рядом: рим 126, сон 108, гы 26
.	кулачки	161	TS	
.	кутить	161	TS	
