# ПОРЦИЯ ru-043 — 43 из 178. Слова 8401–8600 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	убрались	435	TS	
.	прекращаю	434	TS	
.	рвало	432	TS	
.	охраняй	431	S	
.	сем	430	TS	рядом: мире 10, привет 8, камне 7
.	сокровищем	430	TS	
.	помахать	429	TS	
.	поделимся	428	TS	
.	тяжеловато	426	TS	
.	окси	423	S	
.	уставшая	423	TS	
.	гав	420	TS	с заглавной 40% · Гав, гав, гав!
.	нян	416	S	с заглавной 35% · рядом: сон 200, нян 40, сун 18
.	папенька	415	TS	
.	разберу	414	TS	
.	растешь	414	S	
.	шпионит	414	TS	
.	овсянку	413	TS	
.	отослала	413	S	
.	увольте	413	TS	
.	городишке	411	TS	
.	приболел	411	TS	
.	пикнике	410	TS	
.	злодейка	409	TS	
.	состариться	409	TS	
.	краток	408	TS	
.	оправилась	408	TS	
.	разозлили	408	TS	
.	просится	407	TS	
.	арбалет	405	TS	
.	наемный	404	S	
.	непобедим	402	TS	
.	сталкиваюсь	402	TS	
.	удочерить	401	TS	
.	наймем	399	TS	
.	сквайр	399	S	с заглавной 35% · рядом: сквайр 36, трелони 30, хэкэм 10
.	нюни	398	TS	
.	гребанный	397	S	
.	светишься	397	TS	
.	жижи	396	S	с заглавной 76% · рядом: ла 14, ты 13, этой 7
.	непристойное	396	TS	
.	прихоть	395	TS	
.	налетел	394	TS	
.	проезжала	393	TS	
.	шоколадка	393	TS	
.	вздохи	391	TS	
.	льстит	391	TS	
.	потайной	390	TS	
.	проклятием	390	TS	
.	сдадутся	390	TS	
.	ступенька	390	TS	
.	храбрее	390	TS	
.	валяйте	389	TS	
.	проклинаю	389	TS	
.	врёте	388	TS	
.	муженек	388	S	
.	исподтишка	387	TS	
.	припрятал	386	TS	
.	неловкости	382	TS	
.	грандиозно	381	TS	
.	напоил	381	TS	
.	усложняй	381	TS	
.	извращение	380	TS	
.	крестная	380	TS	
.	неудачниками	380	TS	
.	поблажку	380	TS	
.	гадкая	379	S	
.	дамскую	379	S	
.	ласкать	379	TS	
.	вспотела	378	TS	
.	залезать	377	TS	
.	липкий	377	TS	
.	обманываете	377	TS	
.	дураку	375	TS	
.	додумались	374	TS	
.	желтое	373	TS	
.	поправьте	373	TS	
.	суют	373	TS	
.	дурачком	371	TS	
.	необитаемом	371	TS	
.	попадайся	370	TS	
.	рою	370	TS	с заглавной 71% · Я рою яму.
.	очнулись	369	S	
.	эдакий	369	S	
.	дебилов	368	S	
.	опустила	368	TS	
.	изобрела	367	TS	
.	сочная	367	TS	
.	брожу	366	TS	
.	кроссворды	366	TS	
.	приступаю	366	TS	
.	ржать	366	TS	
.	таинственное	366	TS	
.	дописать	364	TS	
.	нелепость	364	TS	
.	прикинуться	364	TS	
.	заведешь	363	S	
.	задремал	363	TS	
.	батька	362	S	
.	ведает	362	TS	
.	облажаюсь	362	S	
.	христианка	362	TS	
.	господам	361	TS	
.	морфия	361	S	
.	переговорю	361	TS	
.	бродила	359	TS	
.	дразнят	359	TS	
.	порезов	359	S	
.	шлюпка	359	S	
.	маминых	358	TS	
.	отстранят	358	S	
.	жаб	357	TS	рядом: мистер 20, этих 14, тростниковых 13
.	оторвемся	357	S	
.	проявляю	357	TS	
.	вечна	356	TS	
.	побеждаем	355	TS	
.	скучную	355	TS	
.	зеркальце	354	TS	
.	неуязвим	354	TS	
.	говнюком	353	TS	
.	клочки	353	TS	
.	кошачья	353	TS	
.	прорвемся	353	S	
.	простофиля	353	TS	
.	рву	353	TS	Я ничего не рву.
.	роботу	353	TS	
.	щётка	353	TS	
.	приболела	352	TS	
.	ползет	351	TS	
.	сексизм	351	S	
.	выдумываю	350	TS	
.	дружбан	350	S	
.	каракули	350	TS	
.	кидаешь	350	TS	
.	молодца	350	TS	
.	сальсу	350	TS	
.	вонючую	349	S	
.	соскочить	349	S	
.	варю	348	TS	
.	взлетим	348	TS	
.	дарила	348	TS	
.	подействовал	348	TS	
.	разыскиваю	348	TS	
.	осесть	347	TS	
.	скрежет	347	TS	
.	туфля	347	TS	
.	отталкивать	346	TS	
.	посоветуете	346	TS	
.	занимаешь	345	TS	
.	запертым	345	TS	
.	развлекаемся	345	TS	
.	какашек	344	S	
.	охотитесь	344	TS	
.	приберись	344	TS	
.	просвети	344	S	
.	триппер	344	TS	с заглавной 70% · А если неохота триппер цепануть - нефиг по бабам шляться!
.	чековую	344	TS	
.	малолеток	343	S	
.	посылай	343	TS	
.	упади	343	TS	
.	мальца	342	S	
.	химчистке	342	TS	
.	злобным	340	S	
.	двигайте	339	TS	
.	отвлекла	339	TS	
.	уступи	339	TS	
.	мордашка	338	TS	
.	уродливое	338	TS	
.	импотент	337	TS	
.	батон	336	TS	с заглавной 36% · Вы купите батон хлеба.
.	охотилась	336	TS	
.	дружелюбны	335	TS	
.	вопит	333	TS	
.	валится	332	TS	
.	гравитацию	331	S	
.	помечтать	331	TS	
.	гнилая	330	TS	
.	заколоть	330	TS	
.	отсосала	330	S	
.	преуспела	330	TS	
.	бредишь	329	TS	
.	шагать	329	TS	
.	отключён	328	TS	
.	мамочек	327	S	
.	сдаешь	327	S	
.	отвозить	326	S	
.	сражайтесь	326	TS	
.	испарились	324	TS	
.	наилучшими	324	TS	
.	изумруды	322	TS	
.	камушки	321	TS	
.	накрыт	320	TS	
.	нэ	320	S	с заглавной 37% · рядом: ри 26, нэ 24, мо 19
.	прицелиться	320	TS	
.	перезванивает	319	TS	
.	вылечат	317	TS	
.	сообщай	315	TS	
.	пристали	314	TS	
.	штуках	314	S	
.	катаемся	313	TS	
