# ПОРЦИЯ ru-066 — 66 из 178. Слова 13001–13200 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	познали	219	S	
.	торжествует	219	TS	
.	кина	218	TS	с заглавной 77% · Кина не будет.
.	наломал	218	TS	
.	раздрае	218	TS	
.	тама	218	TS	с заглавной 76% · Я назвал кошку Тама.
.	блефую	217	TS	
.	непреодолимое	217	TS	
.	обожглась	216	TS	
.	самоотвод	216	TS	
.	защищайся	215	TS	
.	пятнадцатого	215	TS	
.	рыжими	215	TS	
.	кротом	214	TS	
.	погрузится	214	S	
.	сложней	214	TS	
.	зарезала	213	TS	
.	гангрена	212	TS	
.	лизун	212	S	с заглавной 69% · рядом: лизун 34, давай 8, красивый 6
.	наступай	212	TS	
.	невестке	212	TS	
.	скрываюсь	212	TS	
.	тра	212	S	с заглавной 74% · рядом: ля 21, песню 6, ты 5
.	уроню	212	TS	
.	котлетки	211	TS	
.	погаси	211	TS	
.	подбадривать	211	S	
.	шеста	211	TS	
.	криз	210	S	с заглавной 48% · рядом: гипертонический 50, джон 19, сэнсэй 12
.	ёлкой	210	TS	
.	бессмертна	209	TS	
.	скрутить	209	S	
.	скучны	209	TS	
.	втирать	208	TS	
.	высохнут	208	TS	
.	мужичок	208	S	
.	нарываться	208	TS	
.	познала	208	S	
.	остряк	207	TS	
.	проеду	207	S	
.	заведёшь	206	TS	
.	паства	205	TS	
.	холостяцкая	205	TS	
.	заведется	204	S	
.	покушай	204	TS	
.	вендетта	203	TS	
.	вьетнамцы	203	TS	
.	убавить	203	TS	
.	бабке	202	TS	
.	пок	202	S	с заглавной 57% · рядом: чжэ 37, госпожа 20, хва 16
.	чудесны	202	TS	
.	драконах	201	TS	
.	кошачьего	201	TS	
.	настучала	201	S	
.	пообщайся	201	TS	
.	работёнку	201	S	
.	увожу	201	TS	
.	шота	201	S	
.	испарится	200	TS	
.	окоченение	200	TS	
.	существуете	200	TS	
.	липку	199	TS	
.	сыщиков	199	TS	
.	нате	198	TS	
.	киске	197	S	
.	приор	197	S	с заглавной 35% · рядом: брат 49, филип 16, трис 13
.	кружкой	196	TS	
.	привяжем	196	TS	
.	растаяло	196	TS	
.	парамедиков	195	TS	
.	наградит	194	S	
.	погубят	194	TS	
.	поимела	194	S	
.	понесёт	194	TS	
.	накрасилась	193	TS	
.	тута	193	TS	
.	увольняешь	193	S	
.	холостяки	192	TS	
.	ангина	191	TS	
.	переоделись	191	TS	
.	подкалывать	191	TS	
.	подставляться	191	S	
.	цербер	191	S	с заглавной 78% · рядом: программу 9, активирован 7, этот 6
.	засветло	190	TS	
.	немудрено	190	TS	
.	состарился	190	TS	
.	задерживаете	189	TS	
.	окунуть	188	S	
.	фотографируешь	188	TS	
.	остроумная	186	S	
.	шепнул	186	TS	
.	обанкротились	185	TS	
.	пыльная	184	TS	
.	залёг	183	S	
.	агасси	181	S	
.	вредишь	181	S	
.	поднапрячься	181	S	
.	хнычет	181	TS	
.	завещанием	179	TS	
.	подключила	179	TS	
.	поплыть	179	TS	
.	чуду	178	TS	
.	пропуски	177	TS	
.	каблуками	176	TS	
.	изысканным	175	S	
.	недостойный	175	S	
.	позоре	175	S	
.	шороху	175	S	
.	пашешь	173	S	
.	разоблачу	172	TS	
.	длинна	171	TS	
.	отпечатках	171	S	
.	налысо	169	TS	
.	позорите	168	S	
.	недотрога	165	TS	
.	откажите	165	TS	
.	вынашивать	164	S	
.	разногласие	164	TS	
.	утащит	164	S	
.	лгите	162	TS	
.	баронессы	160	S	
.	колья	156	S	
.	невиновными	153	S	
.	голливудском	149	S	с заглавной 44% · рядом: бульваре 62, фильме 39, стиле 12
.	оттрахать	146	S	
.	прогнил	145	TS	
.	отключусь	143	TS	
.	мсфем	132	S	с заглавной 80% · рядом: ме 47, лме 43, мюл 16
.	отрекусь	129	S	
.	докторам	391	TS	
.	выбьет	381	TS	
