# ПОРЦИЯ ru-171 — 171 из 178. Слова 34001–34200 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	припозднилась	113	S	
.	разведем	113	S	
.	разминулся	113	S	
.	ранка	113	TS	
.	созваниваться	113	S	
.	уверили	113	S	
.	чайником	113	TS	
.	шарлатана	113	TS	
.	шторки	113	S	
.	веко	112	TS	
.	впадина	112	TS	
.	гнала	112	TS	
.	даруют	112	S	
.	еврейки	112	TS	
.	кожуре	112	TS	
.	обсохло	112	TS	
.	отмычки	112	TS	
.	перебираю	112	TS	
.	подберешь	112	S	
.	подцеплю	112	TS	
.	приберите	112	TS	
.	расплатись	112	TS	
.	рекрут	112	TS	
.	снисходительности	112	S	
.	сочувствовали	112	TS	
.	условленном	112	TS	
.	беспорядочные	111	S	
.	бойкий	111	TS	
.	вертела	111	S	
.	глине	111	S	
.	евоуле	111	S	
.	засадят	111	TS	
.	изворотливый	111	S	
.	исправляться	111	S	
.	иссякла	111	TS	
.	клёвых	111	S	
.	кошмарным	111	S	
.	лье	111	TS	Я всегда симпатизировал капитану Немо из романа "двадцать тысяч лье под водой".
.	мозговое	111	S	
.	мультяшный	111	TS	
.	неконтролируемый	111	S	
.	патлы	111	TS	
.	пульсом	111	TS	
.	пухнет	111	TS	
.	разоделся	111	TS	
.	расколет	111	TS	
.	растерзали	111	TS	
.	садизм	111	S	
.	сексизма	111	S	
.	снимаемся	111	TS	
.	страшненькая	111	TS	
.	щенячий	111	S	с заглавной 51% · рядом: патруль 106, взгляд 13, восторг 9
.	бульдозером	110	TS	
.	врождённое	110	TS	
.	завернем	110	S	
.	лунатизм	110	S	
.	мешанина	110	TS	
.	монитору	110	S	
.	нектара	110	TS	
.	оэсей	110	S	
.	пепельнице	110	TS	
.	плие	110	S	
.	подвластна	110	TS	
.	поладят	110	TS	
.	сердить	110	TS	
.	солжешь	110	S	
.	ссу	110	S	рядом: кровью 6, тут 3, просто 2
.	текло	110	TS	
.	трясись	110	TS	
.	умывальник	110	TS	
.	фразочки	110	S	
.	шестому	110	TS	
.	вздохов	109	TS	
