# ПОРЦИЯ ru-044 — 44 из 178. Слова 8601–8800 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	мутный	313	TS	
.	обчистили	313	TS	
.	засыпала	312	TS	
.	поужинал	312	TS	
.	апачи	310	S	с заглавной 70% · рядом: остается 24, форт 20, форта 6
.	обязанным	310	TS	
.	чуют	309	TS	
.	женихи	308	TS	
.	испоганил	308	TS	
.	пекаря	307	TS	
.	промеж	307	TS	
.	червяка	307	TS	
.	улет	306	S	
.	замутил	305	TS	
.	высмеивать	304	TS	
.	негативы	304	S	
.	отрежет	304	S	
.	огласить	302	S	
.	падаль	301	TS	
.	песто	301	S	
.	взлетаем	299	TS	
.	предвзято	299	TS	
.	ьчй	298	S	рядом: ьчй 118, блль 23, гйбфя 20
.	отбился	297	TS	
.	противной	297	S	
.	слушаешься	297	TS	
.	тонул	297	TS	
.	застрянет	296	TS	
.	унесите	296	TS	
.	увольняю	295	TS	
.	щмм	295	S	рядом: опнтеяянп 153, опнтеяянпю 39, днпнцюъ 20
.	дотронься	294	TS	
.	зажжём	294	TS	
.	понаблюдаем	293	TS	
.	батат	292	TS	
.	изучи	292	TS	
.	мартышки	292	S	
.	мертвецом	292	S	
.	флеш	292	S	с заглавной 53% · рядом: ла 25, флосси 19, стрит 14
.	заколка	291	S	
.	смешок	290	TS	
.	сравнивай	290	TS	
.	чурбан	290	TS	
.	запугал	288	TS	
.	определись	288	TS	
.	человечки	288	TS	
.	расистка	287	TS	
.	споёшь	287	TS	
.	просканировать	286	S	
.	дохрена	285	TS	
.	спесь	285	TS	
.	невероятны	284	TS	
.	создашь	284	TS	
.	взлету	282	S	
.	пожирают	282	TS	
.	толстуха	282	S	
.	заканчивала	279	TS	
.	взбираться	278	TS	
.	сошка	278	TS	
.	краденое	276	TS	
.	поубивать	276	TS	
.	чихнул	273	TS	
.	ась	272	TS	с заглавной 80% · рядом: ты 40, ну 38, подожди 9
.	бунтовать	272	TS	
.	мидии	270	TS	
.	застенчив	269	TS	
.	кустом	269	TS	
.	афро	267	S	
.	перекушу	267	TS	
.	ириски	266	TS	
.	сперли	266	S	
.	стряхнуть	265	S	
.	бластеры	264	S	
.	спускал	262	TS	
.	стареем	261	TS	
.	повторялось	256	TS	
.	гребаным	254	S	
.	шизофреник	244	TS	
.	фургону	242	S	
.	прокляли	239	S	
.	киту	235	S	с заглавной 75% · рядом: сказала 8, нужна 6, деннисону 6
.	коротышки	232	S	
.	извращения	224	TS	
.	салуне	214	S	
.	унръ	201	S	с заглавной 76% · рядом: аш 74, ъ 25, щрн 15
.	раздражительным	194	TS	
.	шоколадки	603	TS	
.	уборщика	503	TS	
.	задержитесь	501	TS	
.	домовладелец	500	TS	
.	сияют	493	TS	
.	дивный	485	TS	
.	ложишься	480	TS	
.	кроссворд	470	TS	
.	надзирателя	461	S	
.	ассистировать	456	TS	
.	монетка	455	TS	
.	внушил	453	TS	
.	голую	451	S	
.	копил	448	S	
.	починишь	448	TS	
.	блохи	445	TS	
.	пристрелите	443	TS	
.	попрощайтесь	435	TS	
.	ошибусь	432	TS	
.	кремень	428	TS	
.	некстати	428	TS	
.	одевай	427	TS	
.	жемчужину	425	TS	
.	пускаю	422	TS	
.	хитрец	419	TS	
.	вежливы	418	TS	
.	ке	418	TS	с заглавной 62% · рядом: сон 76, паса 39, мён 23
.	подвожу	418	TS	
.	чиа	414	S	с заглавной 80% · рядом: семена 31, глаза 13, вон 11
.	гадкие	413	TS	
.	объятие	411	S	
.	проливать	410	TS	
.	свяжу	410	TS	
.	смешить	409	TS	
.	привяжи	408	TS	
.	кряхтит	407	S	
.	убирайте	406	TS	
.	убедителен	404	TS	
.	звоночек	403	TS	
.	спермой	402	TS	
.	симпатичное	401	TS	
.	спускайте	401	TS	
.	тихонечко	401	S	
.	оплатим	400	TS	
.	городишко	399	TS	
.	отключу	399	TS	
.	отстанешь	399	TS	
.	съездила	398	TS	
.	пеку	397	TS	
.	выскажу	395	TS	
.	вибрирует	394	TS	
.	пикапе	394	S	
.	отчаялся	392	TS	
.	бедняк	389	TS	
.	дамочку	389	S	
.	грустную	388	TS	
.	грёбаное	388	S	
.	поторапливайся	388	TS	
.	кладёшь	387	TS	
.	подберем	385	S	
.	поспим	384	TS	
.	споришь	384	TS	
.	свиньям	383	TS	
.	упаковала	382	TS	
.	щедры	382	TS	
.	замените	381	TS	
.	мучаюсь	381	TS	
.	поумнее	381	TS	
.	контрабандист	380	TS	
.	мертво	379	TS	
.	телохранители	378	TS	
.	догоняю	377	TS	
.	придушить	376	TS	
.	глядел	374	TS	
.	меткий	374	TS	
.	ссы	374	TS	Ссы в глаза, а ему всё божья роса.
.	чакра	374	TS	
.	поблагодаришь	373	TS	
.	подсунули	372	TS	
.	помыкать	372	TS	
.	послушной	371	TS	
.	затащила	369	S	
.	сдержался	369	TS	
.	втюрился	368	TS	
.	развернись	368	S	
.	пердун	367	TS	
.	слоняться	367	TS	
.	спайс	367	S	с заглавной 65% · рядом: гёрлз 54, олд 44, гелз 40
.	гадаю	366	TS	
.	кушетке	366	TS	
.	кружек	365	TS	
.	зашивать	364	TS	
.	восторжествует	363	TS	
.	наивны	363	TS	
.	негоже	363	TS	
.	задолбал	362	TS	
.	подождёте	361	TS	
.	фру	361	S	рядом: лёвандер 53, экдаль 26, тандер 23
.	переживешь	360	S	
.	точь	360	S	
.	близнеца	359	S	
.	заменишь	359	TS	
.	отберу	359	TS	
.	девятка	358	S	
.	идиотской	358	TS	
.	совестно	357	TS	
.	толь	357	TS	с заглавной 75% · рядом: ну 35, ты 34, дядь 17
.	испробовать	356	TS	
.	расслабь	356	TS	
.	постирала	355	TS	
.	самоуверенность	355	TS	
.	расистом	354	TS	
.	песочнице	353	TS	
.	злились	350	TS	
