# ПОРЦИЯ ru-135 — 135 из 178. Слова 26801–27000 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	вставляем	130	S	
.	княже	130	S	
.	копнул	130	S	
.	кричащие	130	TS	
.	мастурбирую	130	S	
.	платков	130	TS	
.	погорел	130	TS	
.	порадовался	130	TS	
.	пороховая	130	TS	
.	прилипнет	130	TS	
.	растаять	130	TS	
.	синьорины	130	S	
.	сладить	130	TS	
.	услышанное	130	TS	
.	цепляй	130	TS	
.	чистеньким	130	S	
.	винограднике	129	TS	
.	влезем	129	S	
.	внушали	129	TS	
.	восьмёрки	129	S	
.	гнилого	129	TS	
.	заплетать	129	TS	
.	нашептал	129	TS	
.	огузок	129	S	с заглавной 60% · рядом: ты 17, этот 5, наш 4
.	педант	129	TS	
.	погоняем	129	S	
.	подбирала	129	TS	
.	подсказкой	129	S	
.	позвоночником	129	TS	
.	поминальной	129	S	
.	предпринимай	129	TS	
.	прикроете	129	S	
.	улетите	129	S	
.	флакона	129	TS	
.	фотонные	129	S	
.	хостесс	129	S	
.	беспричинно	128	TS	
.	вколю	128	S	
.	воя	128	TS	У меня от этого воя мороз по коже.
.	выходная	128	TS	
.	дурости	128	S	
.	жалобно	128	TS	
.	занавеска	128	TS	
.	идеалами	128	TS	
.	инопланетную	128	TS	
.	крепнет	128	TS	
.	немерено	128	S	
.	обойме	128	TS	
.	перцу	128	TS	
.	прольёт	128	TS	
.	рейв	128	S	
.	сестрицы	128	S	
.	сокамерника	128	S	
.	ухмылкой	128	TS	
.	анальные	127	TS	
.	божественна	127	TS	
.	включилось	127	TS	
.	документики	127	S	
.	замерзнем	127	S	
.	изолируем	127	S	
.	иллюзионист	127	TS	
.	качаешь	127	S	
.	москиты	127	TS	
.	напрягаюсь	127	TS	
.	осьминоги	127	TS	
.	плачущего	127	TS	
.	подпустят	127	S	
.	покачать	127	TS	
.	росомахи	127	TS	с заглавной 69% · Росомахи могут проходить сотни километров в течение жизни.
.	синьором	127	S	
.	теневое	127	S	с заглавной 48% · рядом: клонирование 91, множественное 37, правительство 35
.	убогим	127	S	
.	чистящие	127	TS	
.	шезлонг	127	S	
.	бессовестная	126	TS	
.	благосклонен	126	TS	
.	метафорами	126	TS	
.	наложишь	126	S	
.	натолкнулись	126	TS	
.	обладания	126	S	
.	переведешь	126	S	
.	подлетел	126	S	
.	подопытной	126	S	
.	подохнет	126	S	
.	позорься	126	TS	
.	политкорректность	126	TS	
.	поцеловалась	126	S	
.	починкой	126	TS	
.	пощёчины	126	S	
.	предсвадебный	126	S	
.	пренебрегал	126	TS	
.	пропан	126	S	
.	прославит	126	S	
.	простыне	126	S	
.	револьверы	126	TS	
.	ретранслятор	126	S	
.	скромна	126	TS	
.	смыслят	126	TS	
.	танцпола	126	S	
.	хореографией	126	S	
.	анчоусами	125	TS	
.	безнадежны	125	S	
.	бутербродами	125	TS	
.	ведьмин	125	S	
.	властно	125	TS	
.	дикости	125	S	
.	задирали	125	TS	
.	микробами	125	TS	
.	наживать	125	TS	
.	напряжённым	125	TS	
.	обрисовать	125	TS	
.	отведаем	125	TS	
.	позвоночнику	125	S	
.	поспел	125	TS	
.	прогуляешься	125	S	
.	проницателен	125	TS	
.	путеводителе	125	TS	
.	рабством	125	TS	
.	рассортировать	125	S	
.	рулонов	125	TS	
.	соблазнял	125	TS	
.	сопливых	125	TS	
.	текучка	125	S	
.	щелчком	125	TS	
.	эвтаназию	125	TS	
.	яростной	125	TS	
.	бесподобный	124	TS	
.	выдохните	124	TS	
.	выплатишь	124	S	
.	гематому	124	S	
.	могущественна	124	TS	
.	мразью	124	S	
.	неграм	124	TS	
.	незарегистрированный	124	S	
.	неуравновешен	124	TS	
.	оленьи	124	TS	
.	охотничьем	124	S	
.	паршивцы	124	S	
.	побрею	124	S	
.	погорячились	124	TS	
.	поехавшая	124	TS	
.	помешай	124	TS	
.	поплавок	124	S	
.	постучится	124	TS	
.	прибавим	124	TS	
.	притрагивался	124	TS	
.	радостного	124	TS	
.	скупили	124	TS	
.	тарантул	124	S	
.	темновато	124	TS	
.	усложнила	124	S	
.	эстрогена	124	S	
.	беззаботным	123	TS	
.	водичкой	123	TS	
.	должена	123	S	
.	ждущие	123	S	
.	извращенцами	123	S	
.	ловушками	123	S	
.	мериться	123	TS	
.	обретем	123	S	
.	пересядем	123	TS	
.	подгорело	123	TS	
.	подмышкой	123	S	
.	помечено	123	S	
.	разглагольствовать	123	TS	
.	смущаю	123	TS	
.	съезжаться	123	TS	
.	умолчали	123	TS	
.	умственное	123	TS	
.	анархию	122	S	
.	болотам	122	TS	
.	бурундуки	122	TS	
.	винтики	122	S	
.	гареме	122	S	
.	гик	122	S	рядом: ты 8, компьютерный 5, малыш 4
.	гравировку	122	S	
.	двадцатом	122	TS	
.	звукорежиссер	122	S	
.	кьрпйпн	122	S	
.	неотразимым	122	TS	
.	оборвали	122	S	
.	пасли	122	TS	
.	плаху	122	S	
.	подправил	122	TS	
.	поимеет	122	S	
.	покончат	122	TS	
.	постриглась	122	TS	
.	просек	122	S	
.	различиях	122	S	
.	расставанием	122	S	
.	скормим	122	S	
.	соседок	122	TS	
.	стаду	122	TS	
.	тысячелетний	122	S	с заглавной 37% · рядом: сокол 44, рейх 29, демон 11
.	утомилась	122	TS	
.	фьюжн	122	S	
.	шоколаду	122	TS	
.	юнцы	122	TS	
.	бесплодные	121	TS	
.	бычки	121	TS	
