# ПОРЦИЯ ru-113 — 113 из 178. Слова 22401–22600 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	активировала	155	TS	
.	ванилью	155	TS	
.	латиносов	155	S	
.	направляешь	155	S	
.	неуправляемый	155	S	
.	перегибает	155	TS	
.	получеловек	155	S	
.	похоронных	155	TS	
.	прокатило	155	TS	
.	реслинга	155	S	
.	секундомер	155	TS	
.	солдатика	155	S	
.	спинах	155	TS	
.	тромбоз	155	S	
.	туземцы	155	TS	
.	шутника	155	TS	с заглавной 37% · Я что, похож на шутника?
.	бунтуют	154	TS	
.	грохотом	154	TS	
.	забытым	154	TS	
.	капа	154	S	с заглавной 69% · рядом: тау 11, производство 8, драма 8
.	курсовую	154	TS	
.	мбмь	154	S	
.	нё	154	S	с заглавной 62% · рядом: ми 30, маль 29, ок 9
.	обставила	154	TS	
.	одиноком	154	TS	
.	отгадать	154	TS	
.	пролью	154	TS	
.	противного	154	TS	
.	утаишь	154	TS	
.	чудным	154	TS	
.	богатеи	153	S	
.	гламурный	153	TS	
.	гомиком	153	S	
.	грудой	153	TS	
.	дублёр	153	TS	
.	загружай	153	S	
.	иссякли	153	TS	
.	недостойное	153	TS	
.	омерзителен	153	TS	
.	передник	153	TS	
.	перчаткой	153	S	
.	ростовщика	153	TS	
.	саксов	153	S	
.	симку	153	S	
.	тётку	153	TS	
.	убъет	153	S	
.	фартуке	153	TS	
.	чествуем	153	S	
.	бережешь	152	TS	
.	водишься	152	S	
.	выключателем	152	TS	
.	запели	152	TS	
.	зверский	152	TS	
.	молясь	152	S	
.	мэйдэй	152	S	с заглавной 61% · рядом: мэйдэй 302, вызов 3, мэлоуна 2
.	патефон	152	S	
.	похитителям	152	S	
.	прислужник	152	TS	
.	работящий	152	TS	
.	радо	152	TS	с заглавной 44% · Племя не было радо приходу миротворца.
.	романтичные	152	TS	
.	скинешь	152	TS	
.	увезем	152	S	
.	шестнадцатый	152	TS	
.	безнадежным	151	TS	
.	веснушка	151	S	с заглавной 67% · рядом: давай 6, привет 5, порядке 5
.	влюбленного	151	S	
.	выслеживают	151	TS	
.	галлы	151	TS	
.	деревенщин	151	S	
.	заклятья	151	S	
.	истребительницы	151	S	с заглавной 76% · рядом: потенциальные 13, сила 8, без 7
.	охраняете	151	S	
.	подсвечник	151	TS	
.	продержат	151	S	
.	рвусь	151	S	
.	споете	151	S	
.	тренажерном	151	S	
.	хуи	151	TS	«Люди...» — «Хуи на блюде!»
.	яичницы	151	TS	
.	беззащитный	150	TS	
.	выл	150	TS	Он выл, как шакал.
.	глупите	150	TS	
.	дворняжка	150	TS	
.	истекаешь	150	TS	
.	лосьона	150	S	
.	отберёт	150	S	
.	психоаналитику	150	TS	
.	срывался	150	TS	
.	удочерила	150	S	
.	факелами	150	TS	
.	эльфом	150	TS	
.	джентльменами	149	S	
.	дотянет	149	S	
.	заботливого	149	S	
.	кажите	149	S	
.	ковбойская	149	TS	
.	накачан	149	S	
.	погрузимся	149	S	
.	подбираем	149	S	
.	преуспеешь	149	TS	
.	сломаются	149	S	
.	ссал	149	S	
.	часовщик	149	TS	
.	юбок	149	TS	
.	автомойка	148	S	
.	двину	148	S	
.	долбанного	148	S	
.	жире	148	TS	
.	кадык	148	TS	
.	крыть	148	TS	
.	накладная	148	TS	
.	невнимателен	148	TS	
.	облететь	148	S	
.	отключки	148	S	
.	повредишь	148	TS	
.	преподнёс	148	TS	
.	прокатится	148	S	
.	прощал	148	TS	
.	улавливает	148	TS	
.	усыновлен	148	S	
.	физрук	148	S	
.	гавнюк	147	S	
.	дивану	147	S	
.	лазерами	147	S	
.	лениться	147	TS	
.	нечистые	147	S	
.	ошибись	147	TS	
.	подменяю	147	TS	
.	придираюсь	147	S	
.	разбитом	147	TS	
.	свернешь	147	TS	
.	скитался	147	TS	
.	содержу	147	S	
.	жеребцом	146	TS	
.	изгнанник	146	TS	
.	неоспоримый	146	TS	
.	подгузниками	146	S	
.	подтвердишь	146	TS	
.	расслабляешься	146	TS	
.	суйте	146	TS	
.	тётушку	146	S	
.	шаманом	146	TS	
.	доберитесь	145	S	
.	заводишься	145	TS	
.	коринфянам	145	S	с заглавной 74% · рядом: глава 33, послание 16, послании 6
.	кристаллом	145	TS	
.	лупит	145	S	
.	любовными	145	TS	
.	наездников	145	S	
.	носороги	145	TS	
.	опознана	145	TS	
.	отвлекала	145	TS	
.	отскочил	145	TS	
.	отследит	145	S	
.	раскисай	145	TS	
.	сгорите	145	S	
.	смываться	145	S	
.	солнцестояние	145	TS	
.	сольются	145	TS	
.	упиваться	145	TS	
.	щупальце	145	TS	
.	взбредёт	144	TS	
.	выдержите	144	S	
.	гребешок	144	TS	
.	греху	144	TS	
.	журавля	144	S	
.	лгуны	144	TS	
.	лишишь	144	S	
.	музу	144	S	
.	нескончаемый	144	TS	
.	пареной	144	TS	
.	первопроходцы	144	TS	
.	планируй	144	TS	
.	повредился	144	TS	
