# ПОРЦИЯ ru-168 — 168 из 178. Слова 33401–33600 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	занятся	109	S	
.	каталка	109	S	
.	малиновое	109	TS	
.	наказано	109	TS	
.	оберни	109	S	
.	одури	109	S	
.	опухшие	109	TS	
.	отыщут	109	TS	
.	покопайся	109	S	
.	просвещать	109	TS	
.	пряток	109	S	
.	республиканца	109	S	
.	синтетика	109	TS	
.	шляпкой	109	TS	
.	борова	108	S	
.	винодельня	108	S	
.	вираж	108	S	
.	итальяшки	108	S	
.	коврижки	108	TS	
.	кометой	108	S	
.	кутерьма	108	S	
.	лужам	108	TS	
.	махинациями	108	S	
.	минуточек	108	TS	
.	ободрить	108	S	
.	правь	108	S	
.	пушистого	108	TS	
.	салки	108	TS	
.	сиропе	108	TS	
.	столпы	108	TS	
.	транквилизаторами	108	S	
.	трясла	108	TS	
.	ухггнюмз	108	S	
.	черничные	108	TS	
.	баллотируешься	107	S	
.	бегемоты	107	TS	
.	влетели	107	S	
.	выдвигаем	107	S	
.	грубите	107	S	
.	дешевкой	107	S	
.	дрянных	107	S	
.	дую	107	S	рядом: дую 8, много 4, хау 2
.	засранцами	107	S	
.	изумительной	107	TS	
.	кипиш	107	TS	
.	корысть	107	TS	
.	мамулечка	107	S	
.	молите	107	TS	
.	мысленный	107	S	
.	обгоним	107	S	
.	обхватить	107	TS	
.	окситоцин	107	S	
.	особняку	107	S	
.	отберите	107	TS	
.	отличненько	107	S	
.	полярную	107	TS	с заглавной 55% · Найди Полярную звезду.
.	постят	107	TS	
.	приветствием	107	TS	
.	привыкните	107	TS	
.	примеряет	107	TS	
.	продемонстрируй	107	S	
.	разрезают	107	S	
.	свернём	107	S	
.	снимаетесь	107	S	
.	среагировала	107	TS	
.	сторонний	107	TS	
.	тормозная	107	S	
.	торопишь	107	TS	
.	антракте	106	TS	
.	билборд	106	S	
.	влюбитесь	106	S	
.	впутали	106	S	
.	грустим	106	S	
.	звучите	106	S	
.	злыдень	106	S	с заглавной 39% · рядом: ты 7, еще 4, настоящий 4
.	касайтесь	106	TS	
.	командующей	106	S	с заглавной 44% · рядом: дух 10, новой 9, быть 6
.	крестики	106	S	
.	моторе	106	TS	
.	наблюдательны	106	TS	
.	навигатором	106	S	
.	навынос	106	S	
.	невыгодное	106	S	
.	ослеплены	106	TS	
.	отремонтирую	106	TS	
.	паидиа	106	S	
.	парикмахерша	106	TS	
.	переступишь	106	S	
.	переусердствовать	106	TS	
.	пленила	106	TS	
.	поверг	106	S	
.	познав	106	TS	
.	полюбезнее	106	TS	
.	помело	106	TS	
.	прибежишь	106	TS	
.	разлучены	106	S	
.	распутство	106	S	
.	саморазрушения	106	TS	
.	свистишь	106	TS	
.	смущаешься	106	S	
.	тои	106	TS	с заглавной 71% · Тои написал Васе письмо.
.	топике	106	S	с заглавной 38% · рядом: штат 3, да 3, потом 3
.	трудолюбивым	106	TS	
.	трюфеля	106	S	
.	удавиться	106	TS	
.	библейское	105	TS	
.	вмешивайте	105	TS	
.	возите	105	S	
.	выключится	105	TS	
.	загуглить	105	TS	
.	закуток	105	S	
.	карабинеров	105	S	
.	колеблюсь	105	TS	
.	кролике	105	S	
.	малышок	105	S	
.	мелочная	105	TS	
.	миракуру	105	S	с заглавной 75% · рядом: делает 5, под 5, ему 5
.	недопонял	105	TS	
.	незаурядный	105	TS	
.	непристойном	105	S	
.	обертке	105	S	
.	пакетиках	105	TS	
.	повинуется	105	TS	
.	помидора	105	TS	
.	пулях	105	S	
.	пятнадцатое	105	TS	
.	раскладываю	105	S	
.	реактору	105	S	
.	симулянт	105	TS	
.	сундуком	105	S	
.	треклятый	105	TS	
.	укройтесь	105	TS	
.	унижала	105	S	
.	утиные	105	S	
.	утолит	105	TS	
.	цукини	105	TS	
.	яблоню	105	TS	
.	битого	104	TS	
.	боксерские	104	S	
.	воображай	104	TS	
.	вспылила	104	S	
.	горчичный	104	S	
.	дилетанта	104	TS	
.	животная	104	S	
.	изумительны	104	TS	
.	изумрудов	104	S	
.	использованным	104	TS	
.	кабздец	104	S	
.	мертвецам	104	S	
.	наметан	104	S	
.	ог	104	TS	с заглавной 79% · Ог хорошо играл.
.	отключайтесь	104	S	
.	падло	104	S	
.	пленить	104	S	
.	поперхнулся	104	TS	
.	постельных	104	TS	
.	поумнеть	104	TS	
.	препарировать	104	TS	
.	приклей	104	TS	
.	прихвостни	104	S	
.	рокот	104	TS	
.	роятся	104	TS	
.	слепили	104	TS	
.	слюней	104	S	
.	соображают	104	S	
.	судмедэкспертом	104	S	
.	темнокожим	104	S	
.	убегающего	104	S	
.	ящичек	104	S	
.	аза	103	S	с заглавной 72% · рядом: низи 9, ты 6, дженаро 5
.	безвкусные	103	TS	
.	бирюльки	103	TS	
.	верует	103	TS	
.	весточка	103	S	
.	внеземные	103	S	
.	возбудит	103	S	
.	воздержись	103	TS	
.	даи	103	S	с заглавной 76% · рядом: мне 15, чунг 7, ты 5
.	драконья	103	S	
.	загибается	103	S	
.	засунув	103	TS	
.	кирпичик	103	S	
.	клонировал	103	S	
.	мьллпн	103	S	
.	неведомое	103	TS	
.	обозлился	103	TS	
.	обручение	103	TS	
.	огласите	103	TS	
.	переговорили	103	TS	
.	подражают	103	TS	
.	полуголый	103	TS	
.	постигло	103	TS	
.	почерпнул	103	TS	
.	приказчик	103	TS	
.	розах	103	S	
.	чёткая	197	TS	
.	пронзить	195	TS	
.	опхбер	191	S	с заглавной 40% · рядом: бяел 13, ъ 11, йюй 10
.	тю	188	TS	рядом: тю 38, да 24, ты 12
.	смотримся	184	S	
