# ПОРЦИЯ ru-156 — 156 из 178. Слова 31001–31200 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	ёнб	122	S	рядом: дэп 25, лерфь 10, брль 8
.	безрассудна	121	TS	
.	бифштексы	121	S	
.	крысиным	121	S	
.	кукурузе	121	S	
.	масаи	121	S	с заглавной 49% · рядом: племени 8, мара 6, воинов 5
.	миндальный	121	TS	
.	мохнатые	121	TS	
.	мышеловка	121	TS	
.	отвертки	121	S	
.	параноики	121	S	
.	перекрою	121	TS	
.	подмешала	121	TS	
.	подошву	121	S	
.	покопались	121	S	
.	проводкой	121	TS	
.	самоуверенно	121	TS	
.	свастика	121	TS	
.	сокрушим	121	S	
.	срывал	121	TS	
.	удерживало	121	TS	
.	ясненько	121	TS	
.	акробаты	120	TS	
.	бенто	120	S	
.	беременными	120	S	
.	веганы	120	TS	
.	возим	120	S	
.	голодаю	120	TS	
.	жиле	120	S	
.	лентяев	120	TS	
.	мелькнула	120	TS	
.	ничтожен	120	S	
.	орлиное	120	TS	с заглавной 69% · Олег нашёл на траве орлиное перо.
.	отсыпаться	120	TS	
.	паду	120	S	
.	пайку	120	S	с заглавной 59% · рядом: капитану 22, свою 8, мистеру 8
.	распивать	120	TS	
.	резона	120	TS	
.	снисходительна	120	TS	
.	соленую	120	S	
.	съезжают	120	S	
.	тухлая	120	TS	
.	уставала	120	TS	
.	чечётку	120	TS	
.	бедолаг	119	S	
.	благословят	119	TS	
.	воодушевление	119	TS	
.	выпотрошили	119	S	
.	долить	119	TS	
.	жида	119	TS	
.	завянут	119	TS	
.	заклеймили	119	S	
.	заметках	119	TS	
.	испытают	119	S	
.	клатч	119	TS	
.	косплей	119	TS	
.	костлявая	119	TS	
.	крадется	119	S	
.	ленись	119	TS	
.	маркизом	119	S	
.	меткость	119	TS	
.	нетерпеливым	119	TS	
.	окутывает	119	TS	
.	перемешай	119	TS	
.	повержена	119	S	
.	польется	119	S	
.	признаёшься	119	S	
.	проделаю	119	S	
.	пропаном	119	S	
.	прочистил	119	TS	
.	слабостями	119	TS	
.	сражу	119	S	
.	считающий	119	TS	
.	телепатические	119	TS	
.	теряешься	119	S	
.	холодина	119	TS	
.	чёлку	119	TS	
.	баллончиком	118	TS	
.	бреешься	118	TS	
.	вшами	118	TS	
.	грубостей	118	TS	
.	кустик	118	TS	
.	лягушками	118	TS	
.	мотыльков	118	TS	
.	наблевал	118	S	
.	необъяснимым	118	TS	
.	питчером	118	TS	
.	познают	118	S	
.	придурочный	118	S	
.	пристрою	118	TS	
.	пронзит	118	S	
.	проспаться	118	TS	
.	разденемся	118	S	
.	соблазнительный	118	TS	
.	трогательную	118	TS	
.	уберёг	118	TS	
.	уголек	118	S	
.	усомнилась	118	S	
.	учтиво	118	TS	
.	уюмесб	118	S	
.	ядовитую	118	TS	
.	байках	117	S	
.	бегающих	117	S	
.	безумному	117	S	
.	булыжники	117	TS	
.	вломимся	117	S	
.	выправить	117	TS	
.	грифон	117	S	с заглавной 63% · рядом: грифон 4, этот 4, минос 3
.	грубил	117	S	
.	девоньки	117	TS	
.	запачкаться	117	TS	
.	косяком	117	S	
.	кхал	117	S	
.	легки	117	S	
.	лэйбл	117	S	
.	неразборчивая	117	TS	
.	опередим	117	S	
.	опечатать	117	S	
.	отвал	117	TS	
.	отвергаете	117	TS	
.	отплатишь	117	S	
.	переезжайте	117	TS	
.	преследователи	117	S	
.	разорвалось	117	TS	
.	сардар	117	S	с заглавной 76% · рядом: махмуд 17, хан 9, каур 5
.	селки	117	S	
.	синтетической	117	S	
.	утянуть	117	S	
.	бейсбольного	116	TS	
.	вегетарианские	116	S	
.	венерических	116	TS	
.	выстрелило	116	TS	
.	горелым	116	TS	
.	дедушкина	116	TS	
.	докопается	116	TS	
.	заткнет	116	TS	
.	кия	116	S	с заглавной 56% · рядом: давай 7, маасало 5, кончик 4
.	клеишь	116	TS	
.	колесницу	116	TS	
.	личика	116	S	
.	мямлить	116	TS	
.	ночёвки	116	TS	
.	объедков	116	S	
.	осмелитесь	116	S	
.	павшего	116	S	
.	подчинись	116	TS	
.	промотал	116	TS	
.	расчистил	116	TS	
.	свелось	116	S	
.	стильное	116	S	
.	топиться	116	S	
.	украсьте	116	S	
.	эскимосы	116	TS	
.	ёлочка	116	TS	
.	барахолке	115	TS	
.	барыг	115	S	
.	бвана	115	S	
.	бреешь	115	TS	
.	гипотермии	115	TS	
.	городишки	115	S	
.	ев	115	S	с заглавной 78% · рядом: хозяин 6, без 4, всех 4
.	контрацептивы	115	TS	
.	мосте	115	S	
.	мотрите	115	S	
.	нянчилась	115	S	
.	обиженным	115	TS	
.	пакистанцы	115	TS	
.	повергнуть	115	S	
.	подпускают	115	S	
.	преувеличила	115	TS	
.	пропадало	115	S	
.	пытающаяся	115	S	
.	разборчив	115	TS	
.	раскрываешь	115	S	
.	решителен	115	TS	
.	робким	115	TS	
.	спецотряда	115	S	
.	твитнул	115	TS	
.	шкварки	115	S	
.	шприцем	115	S	
.	арахисовой	114	TS	
.	бездушные	114	TS	
.	бластеров	114	S	
.	буэно	114	S	с заглавной 42% · рядом: сеньор 12, диас 8, муй 7
.	ваучер	114	TS	
.	задето	114	TS	
.	заповедям	114	TS	
.	заразные	114	TS	
.	имитировал	114	TS	
.	конька	114	TS	
.	крокеты	114	TS	
.	лузерами	114	S	
.	мясцо	114	S	
.	набожная	114	TS	
.	наркоторговлей	114	TS	
.	опечатки	114	TS	
.	отблагодарит	114	TS	
.	отребьем	114	S	
.	перелетел	114	TS	
.	перетерпеть	114	TS	
