# ПОРЦИЯ ru-074 — 74 из 178. Слова 14601–14800 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	ослепила	246	TS	
.	приёмном	246	S	
.	рентгена	246	TS	
.	стопроцентный	246	TS	
.	хлороформ	246	S	
.	амер	245	S	
.	заманим	245	S	
.	отполировать	245	TS	
.	препираться	245	TS	
.	проколол	245	TS	
.	впустит	244	TS	
.	долбанутый	244	TS	
.	дёргать	244	TS	
.	забьет	244	TS	
.	молочник	244	TS	
.	сменишь	244	TS	
.	испорти	243	TS	
.	лежим	243	TS	
.	напечатала	243	TS	
.	отказываешь	243	S	
.	ды	242	S	рядом: ты 42, апо 37, ма 18
.	комода	242	TS	
.	отрезают	242	S	
.	попутчик	242	TS	
.	яблочки	242	TS	
.	езди	241	TS	
.	наорала	241	TS	
.	натерпелся	241	TS	
.	сентиментален	241	TS	
.	храбрыми	241	TS	
.	безнадежна	240	TS	
.	добейся	240	TS	
.	запишись	240	TS	
.	пакость	240	TS	
.	цитируешь	240	TS	
.	кровная	239	TS	
.	морозильнике	239	TS	
.	поживёт	239	TS	
.	просочится	239	S	
.	униженным	239	TS	
.	вепег	238	S	с заглавной 66% · рядом: меяйнкэйн 16, щрн 12, оюпс 10
.	врунья	237	TS	
.	запросите	237	TS	
.	крутились	237	TS	
.	ленивым	237	TS	
.	небрежности	237	TS	
.	тартарары	237	TS	
.	бедолагу	236	TS	
.	вечен	236	TS	
.	нащупать	236	TS	
.	растяжка	236	S	
.	суеверный	236	TS	
.	бисексуал	235	TS	
.	воскресил	235	TS	
.	долбаное	235	S	
.	заменитель	235	TS	
.	настучать	235	TS	
.	недоброе	235	TS	
.	неистово	235	TS	
.	рыпайся	235	S	
.	гейский	234	S	
.	отсидки	234	S	
.	погладила	234	TS	
.	разобрала	234	TS	
.	сматываемся	234	TS	
.	смывает	234	TS	
.	сумках	234	TS	
.	чудесными	234	TS	
.	чумовая	234	S	
.	гриля	233	S	
.	дрожала	233	TS	
.	сожалела	233	TS	
.	шапочке	233	S	
.	глотке	232	S	
.	замах	232	S	
.	обезглавить	232	TS	
.	выскочило	231	TS	
.	загружаю	231	TS	
.	осведомителем	231	S	
.	пообещаете	231	TS	
.	связывайтесь	231	TS	
.	хитрым	231	TS	
.	буэнос	230	TS	с заглавной 75% · Многие аргентинцы считают, что Буэнос Айрес — это Южный Париж.
.	глотни	230	S	
.	заполняю	230	TS	
.	маманя	230	S	
.	насолил	230	TS	
.	осуществится	230	TS	
.	поприветствуй	230	TS	
.	удав	230	TS	
.	унылое	230	TS	
.	дых	229	TS	Это был удар под дых.
.	норовит	229	TS	
.	пластыри	229	TS	
.	подводишь	229	TS	
.	уничтожаешь	229	S	
.	бородавки	228	TS	
.	отдалилась	228	TS	
.	пожила	228	TS	
.	распечатала	228	TS	
.	соскочил	228	S	
.	досуха	227	S	
.	задавалась	227	TS	
.	коллекционирую	227	TS	
.	намочить	227	TS	
.	подавилась	227	TS	
.	солёная	227	TS	
.	сорви	227	TS	
.	табор	227	TS	
.	догоните	226	TS	
.	допустишь	226	TS	
.	пейнтбол	226	S	
.	полшестого	226	TS	
.	прощались	226	TS	
.	сфоткаться	226	S	
.	убедительнее	226	TS	
.	цацки	226	S	
.	кидайте	225	TS	
.	корейскую	225	TS	
.	огоньком	225	TS	
.	отчаянное	225	TS	
.	подсыпать	225	TS	
.	проткну	225	S	
.	разрушаю	225	TS	
.	тирамису	225	TS	
.	ощутите	224	S	
.	раздавили	224	TS	
.	ревнуете	224	TS	
.	хороним	224	TS	
.	взирая	223	S	
.	запечатан	223	TS	
.	невоспитанный	223	TS	
.	подрасти	223	TS	
.	подушках	223	TS	
.	поинтересней	223	S	
.	переспит	222	S	
.	повезешь	222	S	
.	разобьемся	222	S	
.	гтам	221	S	
.	засмеют	221	TS	
.	переключу	221	TS	
.	пожалуста	221	TS	
.	солгу	221	TS	
.	выселяют	220	TS	
.	отмотать	220	TS	
.	плывешь	220	S	
.	подействовала	220	TS	
.	разбираю	220	TS	
.	скептик	220	TS	
.	яз	220	S	с заглавной 79% · рядом: ты 16, райан 10, грэм 8
.	киллером	219	TS	
.	коро	219	S	с заглавной 50% · рядом: коро 20, ано 10, ты 6
.	повзрослеет	219	TS	
.	подаёшь	219	TS	
.	придирается	219	TS	
.	пьющий	219	TS	
.	растратил	219	TS	
.	пыльно	218	TS	
.	викинга	217	S	с заглавной 38% · рядом: похороны 7, шлем 7, приключения 6
.	йхл	217	S	рядом: мю 69, уюм 38, лхм 23
.	освоился	217	TS	
.	фщн	217	S	рядом: рбйдйюн 11, ощфйкюн 11, кбй 9
.	загрузим	216	TS	
