# ПОРЦИЯ ru-067 — 67 из 178. Слова 13201–13400 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	пьяниц	304	TS	
.	свинку	304	TS	
.	сиськах	304	S	
.	табель	304	S	
.	сотрет	302	S	
.	степ	302	TS	с заглавной 36% · Ты умеешь танцевать степ?
.	кудри	301	TS	
.	поздороваемся	301	TS	
.	представите	301	TS	
.	вывожу	300	TS	
.	открываемся	300	TS	
.	опус	299	TS	с заглавной 39% · Я прочёл Ваш опус.
.	приключении	299	TS	
.	выкрали	298	S	
.	набираешь	298	TS	
.	перетащить	298	TS	
.	пошалить	298	TS	
.	поднажать	296	S	
.	птаха	296	S	с заглавной 74% · рядом: ты 20, капрал 20, спасибо 12
.	тронем	296	S	
.	чашечка	296	TS	
.	грешно	295	TS	
.	трусливые	295	TS	
.	бейсболу	294	TS	
.	затевает	294	TS	
.	квотербека	293	S	
.	предъявим	293	S	
.	разговорчики	293	TS	
.	жертвую	292	TS	
.	очутилась	291	TS	
.	пьянки	291	TS	
.	стучали	291	TS	
.	чистилища	291	S	с заглавной 42% · рядом: кровных 28, кругов 9, этого 9
.	эпинефрин	291	S	
.	измотан	290	TS	
.	родне	290	TS	
.	хвастаюсь	290	TS	
.	выведешь	289	TS	
.	направляю	289	S	
.	наставница	289	S	
.	расхаживать	289	TS	
.	главнее	288	TS	
.	шоты	288	S	
.	занавеску	287	TS	
.	рбйдйь	287	S	
.	скальпелем	285	TS	
.	собачонка	285	TS	
.	танцуя	285	TS	
.	сводите	284	TS	
.	паршивую	283	S	
.	ревнив	283	TS	
.	резче	283	TS	
.	банкой	282	TS	
.	мастурбация	281	TS	
.	оценим	281	S	
.	резиновая	281	TS	
.	исправился	280	TS	
.	квадранте	280	S	
.	пыткой	280	TS	
.	возненавидеть	279	TS	
.	императорское	279	TS	с заглавной 49% · рядом: величество 202, ваше 189, высочество 111
.	помыли	279	TS	
.	порвем	279	S	
.	заказывайте	278	TS	
.	ломбарде	278	TS	
.	отпрыск	278	TS	
.	боссе	277	S	с заглавной 40% · рядом: своем 24, вашем 16, своём 14
.	виселице	277	TS	
.	жалейте	277	TS	
.	пришельцем	277	TS	
.	издеваюсь	276	S	
.	проклятьем	276	TS	
.	розочка	276	S	с заглавной 77% · рядом: моя 14, ты 11, привет 8
.	шептал	276	TS	
.	бессовестный	275	TS	
.	гуляш	275	TS	
.	сунется	275	S	
.	черепашка	275	TS	
.	завалим	274	S	
.	заводил	274	TS	
.	задушена	274	S	
.	неотразим	274	TS	
.	оторвись	274	TS	
.	отошлю	274	TS	
.	повелителем	274	TS	с заглавной 39% · рядом: времени 40, меня 14, станет 14
.	помести	274	S	
.	проболталась	274	TS	
