# ПРИНЯТО машинной приёмкой. Миссия tt-dict-widen, отчёт — docs/DICT-WIDEN.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом, а
# затем, посмотрев сто случайных отклонённых, снял и планку второго источника.
#
# ПРАВИЛО 1.9.1: принимается ВСЁ, кроме формальных обрывков и слов, исключённых оператором.
#   fragment         — формальный обрывок: короче 4 букв или без единой гласной (аеиоуыэюяё)
#   operator-excluded — оператор назвал слово поимённо: можна
# Прежняя планка 1.9.0 больше не решает судьбу слова, но считается и записана меткой, чтобы
# происхождение строки было видно файлом:
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   operator-widened — прежняя планка отклоняла (single-source или cap_ratio >= 0.50),
#                      принято решением оператора; прежняя причина стоит в rule_detail
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
смей	1106	9803	50	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
сучка	1100	9561	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
дашь	1094	9870	125	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
нравишься	1084	9855	196	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
отпусти	1084	9609	77	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes	two-corpora	OpenSubtitles+Tatoeba
звони	1063	9054	179	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
чертов	1054	9626	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
схожу	1054	9193	184	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
продолжай	1031	9756	106	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes	two-corpora	OpenSubtitles+Tatoeba
положи	1004	8912	302	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
проверю	984	8448	68	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
папочка	976	8929	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.07	yes	two-corpora	OpenSubtitles+Tatoeba
проверь	975	9477	100	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
верну	960	8603	107	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
ищешь	954	8847	199	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
спишь	938	8474	163	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
вернешься	934	8431	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
разберусь	927	8286	66	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
постарайся	909	7914	333	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
справлюсь	890	7822	111	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
поговори	885	7931	118	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
верни	881	7797	143	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes	two-corpora	OpenSubtitles+Tatoeba
поедешь	873	8124	189	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
дружок	868	7374	14	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
пойдёшь	862	7490	320	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
волнуюсь	860	7585	36	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
выгляжу	858	7720	120	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
урод	841	7169	15	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
стойте	837	7267	87	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.04	yes	two-corpora	OpenSubtitles+Tatoeba
закрой	832	7766	209	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
расслабься	827	7076	33	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
одолжение	826	6992	63	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
псих	822	7320	32	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes	two-corpora	OpenSubtitles+Tatoeba
закончу	817	7164	112	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
мсье	810	7481	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
начинай	805	7143	75	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
оставайся	803	7974	154	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
шлюха	802	7518	16	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
трогай	785	6955	130	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
устроим	784	7166	43	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
беспокойся	778	6686	207	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
захочу	774	7190	56	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
сядь	774	7015	137	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
взгляни	770	6843	76	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
заходи	763	6748	89	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
нравлюсь	763	6553	242	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
займусь	762	7298	74	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
заплачу	760	6913	90	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
выйдешь	747	7079	66	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
слышь	744	6360	10	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.10	yes	two-corpora	OpenSubtitles+Tatoeba
сними	739	6595	93	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
задницы	727	6373	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
веди	722	6304	104	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
чёртов	716	6468	19	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
забери	713	5951	34	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
дорогуша	711	6507	10	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
отправлю	711	6169	45	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
ведешь	707	5940	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
позволите	706	6095	32	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
придешь	704	6290	19	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
ненавидишь	703	5866	136	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
ответь	695	6125	96	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
принесите	695	6106	247	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
отвезу	692	6364	117	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
сходи	690	6109	131	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
заднице	685	6338	12	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
чёрту	676	5779	77	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
беспокоюсь	672	6128	179	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
братан	670	6525	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
сходим	666	5745	114	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
следи	665	6151	74	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
запомни	665	5737	51	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
найдёшь	661	5917	193	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
справишься	656	6125	61	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
подойди	656	5895	50	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
умрешь	656	5630	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
убирайся	655	5955	59	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.04	yes	two-corpora	OpenSubtitles+Tatoeba
сиськи	649	5711	19	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes	two-corpora	OpenSubtitles+Tatoeba
передам	645	5531	41	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
брошу	640	5194	45	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
болтать	636	5899	69	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
злишься	635	5971	75	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
зови	635	5404	89	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
позабочусь	634	5697	77	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
рассказывай	634	5536	128	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
отойди	629	5699	57	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
попозже	629	5273	98	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
бросай	623	5861	90	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
бро	617	5718	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.04	yes	two-corpora	OpenSubtitles+Tatoeba
уезжаю	613	5191	148	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
прими	612	5488	84	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
попроси	605	5309	208	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
пойдемте	599	5337	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
уеду	597	5744	106	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
задница	597	5662	10	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
поможете	596	5958	162	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
остановись	595	5367	35	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
останься	593	4940	93	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes	two-corpora	OpenSubtitles+Tatoeba
зайду	591	5284	123	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
уходишь	581	5197	80	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
вернёшься	580	5235	157	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
просишь	580	5012	72	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
выпей	580	4908	106	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
используй	576	5243	71	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
погодите	575	5252	21	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.04	yes	two-corpora	OpenSubtitles+Tatoeba
воняет	575	4909	32	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
объясни	567	5504	125	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
перезвоню	566	5068	122	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
уйдешь	560	4847	8	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
пойди	559	5223	180	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
езжай	552	5325	14	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
открывай	551	5048	90	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
возьмешь	551	4814	9	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
называешь	550	4729	30	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
слушаешь	545	4949	135	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
уйди	544	4947	51	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes	two-corpora	OpenSubtitles+Tatoeba
беспокойтесь	544	4583	169	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
лезь	541	4667	60	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
надень	536	4662	122	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
девчонку	536	4532	12	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
милорд	533	4644	10	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes	two-corpora	OpenSubtitles+Tatoeba
приготовлю	533	4529	110	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
достану	525	4872	21	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
забирай	519	4572	25	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
поешь	517	4202	87	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
спрашиваешь	516	4910	66	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
позволишь	515	4669	21	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
отвечай	513	4385	95	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
заставлю	513	4055	32	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
отвали	509	4442	8	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.08	yes	two-corpora	OpenSubtitles+Tatoeba
потише	502	4526	177	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
угадай	499	4603	109	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.09	yes	two-corpora	OpenSubtitles+Tatoeba
потеряю	495	4542	35	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
держишь	495	4382	63	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
предупреждаю	493	4769	41	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
закончишь	491	4275	82	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
устрою	491	4241	23	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
болван	489	4658	19	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes	two-corpora	OpenSubtitles+Tatoeba
стерва	484	4083	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
позову	482	4161	78	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
