# ОТКЛОНЕНО машинной приёмкой. Миссия tt-dict-accept, отчёт — docs/DICT-ACCEPT.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом.
#
# ПРАВИЛО: слово принимается, если его подтверждает второй независимый источник
# и регистровая улика не выдаёт в нём имя собственное (cap_ratio < 0.50).
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   single-source    — подтверждения нет: один корпус и ничего больше
#   proper-noun-evidence — >= 0.50 вхождений с заглавной буквы не в начале строки
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
селкенмә	2	24	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
корабтагы	2	18	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
үлдем	2	17	0	OpenSubtitles	risk-accepted:no-grant	0.06	yes	single-source	OpenSubtitles
үтерәчәкмен	2	17	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
мәгарәләргә	2	16	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
супербатыр	2	16	0	OpenSubtitles	risk-accepted:no-grant	0.08	yes	single-source	OpenSubtitles
бозар	2	14	14	Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	single-source	Tatoeba
клерның	2	12	0	OpenSubtitles	risk-accepted:no-grant	1.00	yes	proper-noun-evidence	cap_ratio=1.00>=0.50
сагыначакмын	2	12	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
әйтәчәксең	2	12	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
гоблин	2	11	0	OpenSubtitles	risk-accepted:no-grant	0.71	yes	proper-noun-evidence	cap_ratio=0.71>=0.50
югалыгыз	2	11	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
үтермәдем	2	11	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
итәчәксең	2	10	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
кикрикүк	2	10	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.50	no	proper-noun-evidence	cap_ratio=0.50>=0.50
синди	2	10	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
алачаксыңмы	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
асрама	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
аңлыйсыңдыр	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
белгәнче	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
күренмәү	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.12	no	single-source	OpenSubtitles
югалдың	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
җитешмәдем	2	9	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
ишетмәдеңме	2	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
нәмәзмәт	2	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
ялганлаган	2	8	8	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
янчыгымны	2	8	8	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
җыел	2	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
атасың	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
атаңның	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
гриффиндор	2	7	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
коп	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
күтенә	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
кәһәрләнгән	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
тылсымны	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
янтык	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
үтермәдең	2	7	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
анаңа	2	6	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
