# ОТКЛОНЕНО машинной приёмкой. Миссия tt-dict-accept, отчёт — docs/DICT-ACCEPT.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом.
#
# ПРАВИЛО: слово принимается, если его подтверждает второй независимый источник
# и регистровая улика не выдаёт в нём имя собственное (cap_ratio < 0.50).
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   single-source    — подтверждения нет: один корпус и ничего больше
#   proper-noun-evidence — >= 0.50 вхождений с заглавной буквы не в начале строки
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
унпньн	165	1702	0	OpenSubtitles	risk-accepted:no-grant	0.69	yes	proper-noun-evidence	cap_ratio=0.69>=0.50
величеству	165	1342	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.73	yes	proper-noun-evidence	cap_ratio=0.73>=0.50
мадмуазель	164	1577	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
улику	162	1522	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
ёй	161	1454	0	OpenSubtitles	risk-accepted:no-grant	0.74	yes	proper-noun-evidence	cap_ratio=0.74>=0.50
родео	158	1371	0	OpenSubtitles	risk-accepted:no-grant	0.13	yes	single-source	OpenSubtitles
дерьмово	154	1315	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
бнр	151	1289	0	OpenSubtitles	risk-accepted:no-grant	0.61	yes	proper-noun-evidence	cap_ratio=0.61>=0.50
уфп	148	1483	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
сучку	148	1329	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
бн	145	1354	0	OpenSubtitles	risk-accepted:no-grant	0.34	yes	single-source	OpenSubtitles
еимаи	144	1424	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
бюя	144	1237	0	OpenSubtitles	risk-accepted:no-grant	0.77	yes	proper-noun-evidence	cap_ratio=0.77>=0.50
мамуля	143	1279	0	OpenSubtitles	risk-accepted:no-grant	0.13	yes	single-source	OpenSubtitles
засуну	143	1154	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
клево	141	1379	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
кольт	138	1241	0	OpenSubtitles	risk-accepted:no-grant	0.71	yes	proper-noun-evidence	cap_ratio=0.71>=0.50
чутье	138	1158	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
сраная	138	1137	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
сонбэ	137	1283	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
девку	136	1259	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
мет	136	1044	0	OpenSubtitles	risk-accepted:no-grant	0.13	yes	single-source	OpenSubtitles
зацепку	135	1182	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
сосать	134	1138	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
фзт	134	1029	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
орошо	131	1029	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
фй	130	1301	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
джентельмены	129	1322	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	single-source	OpenSubtitles
соу	129	1111	0	OpenSubtitles	risk-accepted:no-grant	0.43	yes	single-source	OpenSubtitles
тгм	127	1018	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	single-source	OpenSubtitles
трахалась	126	1210	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
кх	126	1145	6	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.68	yes	proper-noun-evidence	cap_ratio=0.68>=0.50
прикажите	126	969	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
вить	125	1158	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.66	yes	proper-noun-evidence	cap_ratio=0.66>=0.50
папочки	125	1102	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	single-source	OpenSubtitles
маячок	124	984	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
поглядим	122	1044	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
клевая	122	925	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
папочке	120	1401	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
гребаные	120	1079	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
сиятельство	119	1052	0	OpenSubtitles	risk-accepted:no-grant	0.25	yes	single-source	OpenSubtitles
лиа	119	1024	0	OpenSubtitles	risk-accepted:no-grant	0.56	yes	proper-noun-evidence	cap_ratio=0.56>=0.50
але	118	950	0	OpenSubtitles	risk-accepted:no-grant	0.60	yes	proper-noun-evidence	cap_ratio=0.60>=0.50
святейшество	116	1051	0	OpenSubtitles	risk-accepted:no-grant	0.79	yes	proper-noun-evidence	cap_ratio=0.79>=0.50
мерзавца	116	860	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
вагины	116	850	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
засранцы	115	1143	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
шлюшка	115	1099	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
поу	115	959	0	OpenSubtitles	risk-accepted:no-grant	0.16	yes	single-source	OpenSubtitles
чертовых	114	971	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
сперма	113	1142	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
приманка	113	1076	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
долбанный	113	808	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
убьете	112	1114	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
байк	112	1035	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
всплывет	112	1024	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
амиго	112	1019	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	single-source	OpenSubtitles
онни	112	953	0	OpenSubtitles	risk-accepted:no-grant	0.06	yes	single-source	OpenSubtitles
суку	111	1114	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
циа	111	1017	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	single-source	OpenSubtitles
позовем	110	947	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
бурбон	109	1048	0	OpenSubtitles	risk-accepted:no-grant	0.14	yes	single-source	OpenSubtitles
ун	109	869	0	OpenSubtitles	risk-accepted:no-grant	0.70	yes	proper-noun-evidence	cap_ratio=0.70>=0.50
гринго	108	1027	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	single-source	OpenSubtitles
споем	108	871	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
бюл	107	1068	0	OpenSubtitles	risk-accepted:no-grant	0.76	yes	proper-noun-evidence	cap_ratio=0.76>=0.50
мр	107	951	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.54	yes	proper-noun-evidence	cap_ratio=0.54>=0.50
зовешь	106	1101	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
девичник	105	1105	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
сучкой	105	1011	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
исчезнешь	105	800	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
тьы	104	1037	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
клевый	104	1024	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
нигга	104	919	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
вь	104	898	0	OpenSubtitles	risk-accepted:no-grant	0.06	yes	single-source	OpenSubtitles
яеивюя	103	1105	0	OpenSubtitles	risk-accepted:no-grant	0.80	yes	proper-noun-evidence	cap_ratio=0.80>=0.50
дн	103	890	0	OpenSubtitles	risk-accepted:no-grant	0.69	yes	proper-noun-evidence	cap_ratio=0.69>=0.50
спецагент	103	890	0	OpenSubtitles	risk-accepted:no-grant	0.08	yes	single-source	OpenSubtitles
мбт	102	970	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
фройляйн	102	969	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	single-source	OpenSubtitles
блль	102	839	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
сраную	101	962	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
папочкой	101	930	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
хэштег	101	908	0	OpenSubtitles	risk-accepted:no-grant	0.08	yes	single-source	OpenSubtitles
клевер	101	843	19	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.61	yes	proper-noun-evidence	cap_ratio=0.61>=0.50
подпишем	101	839	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
фпхт	101	821	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
сиськами	100	966	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
едю	100	905	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
еперь	100	857	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
ето	100	827	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
пройдемте	99	962	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
отбросы	99	855	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
вагину	99	828	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
зто	99	796	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
стажер	99	780	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
варп	99	733	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
гребаная	98	1018	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
сдохнешь	98	960	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
энсин	98	848	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	single-source	OpenSubtitles
засранца	98	844	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
старикан	98	835	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
сенсей	98	833	0	OpenSubtitles	risk-accepted:no-grant	0.30	yes	single-source	OpenSubtitles
рсэрей	98	797	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
пупсик	98	770	0	OpenSubtitles	risk-accepted:no-grant	0.10	yes	single-source	OpenSubtitles
очнется	97	1065	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
рнцдю	97	848	0	OpenSubtitles	risk-accepted:no-grant	0.79	yes	proper-noun-evidence	cap_ratio=0.79>=0.50
уликами	97	829	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
телка	97	786	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
вонючка	97	781	0	OpenSubtitles	risk-accepted:no-grant	0.34	yes	single-source	OpenSubtitles
маскировка	97	769	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
зацените	96	928	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	single-source	OpenSubtitles
трип	96	826	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.69	yes	proper-noun-evidence	cap_ratio=0.69>=0.50
апо	96	769	0	OpenSubtitles	risk-accepted:no-grant	0.05	yes	single-source	OpenSubtitles
плюща	96	715	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.51	yes	proper-noun-evidence	cap_ratio=0.51>=0.50
тотем	96	565	0	OpenSubtitles	risk-accepted:no-grant	0.17	yes	single-source	OpenSubtitles
сестрица	95	1030	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
трахни	95	792	0	OpenSubtitles	risk-accepted:no-grant	0.10	yes	single-source	OpenSubtitles
пасибо	94	952	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
убт	93	861	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
вломиться	93	794	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
оти	93	744	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
бакса	93	731	0	OpenSubtitles	risk-accepted:no-grant	0.08	yes	single-source	OpenSubtitles
преосвященство	92	802	0	OpenSubtitles	risk-accepted:no-grant	0.40	yes	single-source	OpenSubtitles
эн	92	751	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.79	yes	proper-noun-evidence	cap_ratio=0.79>=0.50
закусочную	92	715	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
ботан	92	707	0	OpenSubtitles	risk-accepted:no-grant	0.18	yes	single-source	OpenSubtitles
ауто	92	665	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
мамочкой	91	868	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
монсеньор	91	845	0	OpenSubtitles	risk-accepted:no-grant	0.09	yes	single-source	OpenSubtitles
суперинтендант	91	797	0	OpenSubtitles	risk-accepted:no-grant	0.06	yes	single-source	OpenSubtitles
всмысле	91	786	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	single-source	OpenSubtitles
еяубй	91	755	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
адской	91	724	0	OpenSubtitles	risk-accepted:no-grant	0.55	yes	proper-noun-evidence	cap_ratio=0.55>=0.50
сортир	90	1013	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
плейбой	90	846	0	OpenSubtitles	risk-accepted:no-grant	0.49	yes	single-source	OpenSubtitles
кимчи	90	776	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	single-source	OpenSubtitles
детонатор	89	851	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
облажаться	89	811	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
расспросить	88	830	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
трахаются	88	746	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
вобщем	88	745	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
наденем	88	745	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
тоу	88	725	0	OpenSubtitles	risk-accepted:no-grant	0.16	yes	single-source	OpenSubtitles
десь	88	574	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
девчонкам	87	866	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
впорядке	87	733	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
братва	86	790	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	single-source	OpenSubtitles
парниша	86	779	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
фара	86	733	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.60	yes	proper-noun-evidence	cap_ratio=0.60>=0.50
мйб	85	884	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
трахается	85	829	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
олько	85	801	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
приманкой	85	713	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
янм	85	697	0	OpenSubtitles	risk-accepted:no-grant	0.08	yes	single-source	OpenSubtitles
теть	84	794	0	OpenSubtitles	risk-accepted:no-grant	0.05	yes	single-source	OpenSubtitles
кадиллак	84	787	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.65	yes	proper-noun-evidence	cap_ratio=0.65>=0.50
прикончит	83	797	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
фейри	83	729	0	OpenSubtitles	risk-accepted:no-grant	0.32	yes	single-source	OpenSubtitles
