# ПОРЦИЯ tt-008 — 8 из 19. Слова 1401–1600 из 3734 (татарская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	куачаклар	7	TS	
.	кулланасың	7	TS	
.	куркынычсызлыкта	7	TS	
.	кыланасың	7	TS	
.	кэти	7	TS	с заглавной 100% · Хәтерлисеңме, кичәдә Кэти ничек киенгән иде?
.	күзләрегезне	7	T	
.	күнле	7	S	
.	күчендем	7	TS	
.	кәчтүм	7	S	
.	көллияттән	7	TS	
.	көлмә	7	T	
.	линди	7	S	с заглавной 100% · рядом: югында 1, янымда 1, өч 1
.	модулен	7	S	
.	нишләгәнебезне	7	TS	
.	оештырдың	7	TS	
.	очачакбыз	7	TS	
.	ошыйм	7	TS	
.	пейджер	7	S	
.	ризалаштың	7	S	
.	роверны	7	S	
.	рәсәйлеләр	7	T	
.	сакалың	7	TS	
.	сездәме	7	TS	
.	сезнекеме	7	TS	
.	сизүем	7	S	
.	сюзан	7	TS	с заглавной 100% · Сюзан миннән ике яшькә олырак.
.	танымадым	7	TS	
.	таптымы	7	TS	
.	тезлән	7	S	
.	текила	7	TS	
.	телләшмә	7	TS	
.	теләдегез	7	TS	
.	теләрсез	7	TS	
.	тоник	7	S	
.	тордыңмы	7	TS	
.	тотлыга	7	TS	
.	туктатмас	7	S	
.	тый	7	TS	Оста барда кулың тый.
.	тынычландыр	7	TS	
.	тырышасыңмы	7	TS	
.	төштең	7	TS	
.	фадил	7	T	с заглавной 100% · Фадил нәрсә көтә?
.	файлны	7	TS	
.	фотографияне	7	TS	
.	хатыныңа	7	TS	
.	чизбургерлар	7	S	
.	шалтыратыр	7	TS	
.	эләктерегез	7	TS	
.	этәргә	7	S	
.	яракларны	7	S	
.	җибәрдеме	7	S	
.	үлдек	7	S	
.	үләчәксез	7	S	
.	үтермәде	7	S	
.	үткәрдең	7	S	
.	һе	7	TS	Һе, мин хаклы булганмын лабаса!
.	әбикәй	7	S	
.	әвен	7	T	
.	әзерлисез	7	TS	
.	әйткәнеңне	7	TS	
.	акыллының	6	TS	
.	алачыкта	6	TS	
.	асгардлылар	6	S	с заглавной 67% · рядом: сез 2, кыю 1
.	ачтыңмы	6	TS	
.	ачуланасыңмы	6	TS	
.	ачуыңны	6	TS	
.	ашарсыңмы	6	TS	
.	ашасам	6	TS	
.	барачаксыз	6	TS	
.	барганыгызны	6	TS	
.	бармадың	6	T	
.	белмәячәкбез	6	TS	
.	белүең	6	TS	
.	бербер	6	T	
.	берсеме	6	TS	
.	бикләдем	6	TS	
.	бирдегезме	6	TS	
.	боздыгыз	6	S	
.	боздым	6	S	
