# ПОРЦИЯ tt-011 — 11 из 19. Слова 2001–2200 из 3734 (татарская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	бәрелсә	4	TS	
.	бәрәчәк	4	S	
.	бәхетеңә	4	S	
.	бәхетсезлекләр	4	S	
.	бөеремне	4	S	
.	вагю	4	S	
.	вазаны	4	TS	
.	видморның	4	S	с заглавной 100% · рядом: төп 1, чарльз 1, әйе 1
.	викингы	4	S	
.	вольтрон	4	S	с заглавной 100% · рядом: син 2
.	вуаля	4	S	
.	гаепләмәгез	4	TS	
.	галактикада	4	S	
.	галстукны	4	S	
.	галәмара	4	TS	
.	галәмнәрдән	4	S	
.	гашыйкмы	4	TS	
.	гильдиягә	4	S	с заглавной 100% · рядом: гадәттә 1, тариф 1, керергә 1
.	гладиозавр	4	S	с заглавной 100% · рядом: булу 1, беркемгә 1, бит 1
.	гринвичка	4	S	
.	гәҗәеп	4	S	
.	дантист	4	S	
.	дежа	4	S	
.	дейтон	4	S	
.	десмондның	4	S	с заглавной 100% · рядом: сүзләрен 1, дустың 1, анда 1
.	джейга	4	S	
.	джеймисон	4	S	
.	джентльменнар	4	TS	
.	джессиканы	4	TS	с заглавной 100% · Джон Джессиканы өйдән әйберләрен фургонга төяп торганда тапты.
.	джуди	4	TS	с заглавной 100% · Джуди биергә ярата.
.	диетага	4	T	
.	догамны	4	TS	
.	дуслармы	4	TS	
.	дустыгызга	4	S	
.	дустымнан	4	T	
.	дустыңның	4	TS	
.	дәваларлар	4	S	
.	дәшмим	4	TS	
.	елмаюыңны	4	T	
.	ерма	4	S	
.	журналчы	4	T	
.	зиннәте	4	T	
.	зириның	4	T	
.	зондны	4	S	
.	иелгәнгә	4	T	
.	иелегез	4	TS	
.	икешәрле	4	T	
.	икәнендә	4	TS	
.	икәнеңә	4	S	
.	иминлегең	4	S	
.	инаныгыз	4	T	
.	ингалятор	4	S	
.	иреклеме	4	T	
.	исәнләш	4	TS	
.	ишетсәгез	4	S	
.	ишетүемә	4	T	
.	иярегез	4	S	
.	йокладыгыз	4	TS	
.	йокламыйсыңмы	4	TS	
.	йоклыймы	4	TS	
.	йокылы	4	T	
.	йортыгызны	4	T	
.	йоу	4	S	рядом: санта 1
.	йөгерсәң	4	S	
.	йөздек	4	T	
.	йөрдеңме	4	TS	
.	кабинаны	4	S	
.	кабызасың	4	S	
